,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
129,129,1043,Leicester City,Premier League,Leonardo Ulloa,27,Centre Forward,9.09,2014,Before2016,Brighton & Hove Albion,Premier League,F,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Argentina,72.0,72.0,6.1664,282.0,102.0,65to74,65to74,6to6.5,150to300,100above,SA
132,132,1395,Manchester City,Premier League,Willy Caballero,32,Goalkeeper,7.2,2014,Before2016,Málaga CF,Primera Division,GK,Tier_1,Tier_2,A30,Above30,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,6.1008,331.0,0.0,75to84,65to74,6to6.5,300above,below20,SA
136,136,92,Manchester City,Premier League,Sergio Agüero,23,Centre Forward,36.0,2011,Before2016,Atlético Madrid,Primera Division,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Argentina,90.0,84.0,5.6744,229.0,97.0,85above,75to84,5.5to6,150to300,50to100,SA
138,138,293,Valencia CF,Primera Division,Enzo Pérez,28,Central Midfield,22.5,2014,Before2016,SL Benfica,Other,M,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,81.0,77.0,5.8384,273.0,35.0,75to84,75to84,5.5to6,150to300,20to50,SA
140,140,1091,Swansea City,Premier League,Federico Fernández,25,Centre Back,9.0,2014,Before2016,SSC Napoli,Serie A,D,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,Argentina,80.0,75.0,6.232,103.0,4.0,75to84,75to84,6to6.5,50to150,below20,SA
141,141,1680,Newcastle United,Premier League,Federico Fernández,29,Centre Back,6.03,2018,After2016,Swansea City,Premier League,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Argentina,77.0,79.0,6.232,235.0,7.0,75to84,75to84,6to6.5,150to300,below20,SA
143,143,1841,Zenit St. Petersburg,Other,Ezequiel Garay,27,Centre Back,5.4,2014,Before2016,SL Benfica,Other,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,85.0,82.0,6.1664,201.0,25.0,85above,75to84,6to6.5,150to300,20to50,SA
144,144,318,Valencia CF,Primera Division,Ezequiel Garay,29,Centre Back,21.6,2016,After2016,Zenit St. Petersburg,Other,D,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,83.0,83.0,6.1664,251.0,28.0,75to84,75to84,6to6.5,150to300,20to50,SA
148,148,1521,Valencia CF,Primera Division,Pablo Piatti,22,Left Winger,6.75,2011,Before2016,UD Almería,Primera Division,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,Argentina,86.0,70.90105720000001,5.3464,150.0,32.0,85above,65to74,below5.5,150to300,20to50,SA
151,151,688,Juventus FC,Serie A,Roberto Pereyra,24,Left Midfield,13.5,2015,Before2016,Udinese Calcio,Serie A,F,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,Argentina,85.0,77.0,5.9696,127.0,8.0,85above,75to84,6to6.5,50to150,below20,SA
152,152,792,Watford FC,Premier League,Roberto Pereyra,25,Left Midfield,11.7,2016,After2016,Juventus FC,Serie A,F,Tier_2,Tier_1,U25,Under30,40Mto10M,20Mto5M,Argentina,83.0,79.0,5.9696,175.0,12.0,75to84,75to84,6to6.5,150to300,below20,SA
153,153,548,AS Roma,Serie A,Erik Lamela,19,Right Winger,15.3,2011,Before2016,River Plate,Other,F,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,79.0,60.0,6.0024,36.0,4.0,75to84,below65,6to6.5,below50,below20,SA
154,154,203,Tottenham Hotspur,Premier League,Erik Lamela,21,Right Winger,27.0,2013,Before2016,AS Roma,Serie A,F,Tier_1,Tier_1,U21,Under23,40Mto10M,60Mto20M,Argentina,86.0,76.0,6.0024,98.0,23.0,85above,75to84,6to6.5,50to150,20to50,SA
161,161,1446,US Palermo,Serie A,Matías Silvestre,26,Centre Back,7.2,2011,Before2016,Calcio Catania,Serie A,D,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,Argentina,78.0,70.90105720000001,6.1336,209.0,13.0,75to84,65to74,6to6.5,150to300,below20,SA
162,162,1024,Sunderland AFC,Premier League,Ricardo Álvarez,27,Attacking Midfield,9.45,2015,Before2016,Inter Milan,Serie A,M,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,77.0,77.0,5.981024551,136.1753754,20.22582583,75to84,75to84,6to6.5,50to150,20to50,SA
180,180,1739,Cagliari Calcio,Serie A,Lucas Castro,29,Central Midfield,5.85,2018,After2016,Chievo Verona,Serie A,M,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,Argentina,78.0,77.0,5.9696,275.0,35.0,75to84,75to84,6to6.5,150to300,20to50,SA
181,181,195,Paris Saint-Germain,Ligue 1,Ezequiel Lavezzi,27,Second Striker,27.0,2012,Before2016,SSC Napoli,Serie A,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,88.0,81.0,5.6744,136.1753754,20.22582583,85above,75to84,5.5to6,50to150,20to50,SA
185,185,923,US Palermo,Serie A,Paulo Dybala,18,Second Striker,10.71,2012,Before2016,Instituto AC,Other,F,Tier_2,Tier_4,U21,Under23,40Mto10M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.8056,38.0,17.0,75to84,65to74,5.5to6,below50,below20,SA
186,186,105,Juventus FC,Serie A,Paulo Dybala,21,Second Striker,36.0,2015,Before2016,US Palermo,Serie A,F,Tier_1,Tier_2,U21,Under23,40Mto10M,60Mto20M,Argentina,85.0,70.0,5.8056,127.0,38.0,85above,65to74,5.5to6,50to150,20to50,SA
191,191,1409,Zenit St. Petersburg,Other,Cristian Ansaldi,26,Left Back,7.2,2013,Before2016,Rubin Kazan,Other,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,Argentina,82.0,79.0,5.9368,157.0,4.0,75to84,75to84,6to6.5,150to300,below20,SA
193,193,1038,Inter Milan,Serie A,Cristian Ansaldi,29,Left Back,9.45,2016,After2016,Genoa CFC,Serie A,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,79.0,77.0,5.9368,166.0,5.0,75to84,75to84,6to6.5,150to300,below20,SA
196,196,111,SSC Napoli,Serie A,Gonzalo Higuaín,25,Centre Forward,35.1,2013,Before2016,Real Madrid,Primera Division,F,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,Argentina,87.0,85.0,6.1008,225.0,120.0,85above,85above,6to6.5,150to300,100above,SA
197,197,12,Juventus FC,Serie A,Gonzalo Higuaín,28,Centre Forward,81.0,2016,After2016,SSC Napoli,Serie A,F,Tier_1,Tier_1,U30,Under30,Above80M,Above60M,Argentina,86.0,84.0,6.1008,329.0,191.0,85above,75to84,6to6.5,300above,100above,SA
203,203,804,FC Internazionale,Serie A,Mauro Icardi,20,Centre Forward,11.7,2013,Before2016,UC Sampdoria,Serie A,F,Tier_2,Tier_2,U21,Under23,40Mto10M,20Mto5M,Argentina,84.0,64.0,5.9368,33.0,11.0,75to84,below65,6to6.5,below50,below20,SA
