,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age,transfer_price,potential_fifa,overall_fifa,new_height,appearances,goals,N
138,Primera Division,Before2016,Other,M,Tier_1,Tier_1,Under30,40Mto10M,75to84,75to84,5.5to6,150to300,20to50,SA
140,Premier League,Before2016,Serie A,D,Tier_2,Tier_1,Under30,10Mto5M,75to84,75to84,6to6.5,50to150,below20,SA
141,Premier League,After2016,Premier League,D,Tier_1,Tier_2,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
143,Other,Before2016,Other,D,Tier_1,Tier_1,Under30,10Mto5M,85above,75to84,6to6.5,150to300,20to50,SA
144,Primera Division,After2016,Other,D,Tier_1,Tier_1,Under30,40Mto10M,75to84,75to84,6to6.5,150to300,20to50,SA
148,Primera Division,Before2016,Primera Division,F,Tier_1,Tier_4,Under23,10Mto5M,85above,65to74,below5.5,150to300,20to50,SA
151,Serie A,Before2016,Serie A,F,Tier_1,Tier_2,Under30,40Mto10M,85above,75to84,6to6.5,50to150,below20,SA
152,Premier League,After2016,Serie A,F,Tier_2,Tier_1,Under30,40Mto10M,75to84,75to84,6to6.5,150to300,below20,SA
153,Serie A,Before2016,Other,F,Tier_1,Tier_4,Under23,40Mto10M,75to84,below65,6to6.5,below50,below20,SA
154,Premier League,Before2016,Serie A,F,Tier_1,Tier_1,Under23,40Mto10M,85above,75to84,6to6.5,50to150,20to50,SA
161,Serie A,Before2016,Serie A,D,Tier_2,Tier_3,Under30,10Mto5M,75to84,65to74,6to6.5,150to300,below20,SA
162,Premier League,Before2016,Serie A,M,Tier_2,Tier_1,Under30,10Mto5M,75to84,75to84,6to6.5,50to150,20to50,SA
180,Serie A,After2016,Serie A,M,Tier_2,Tier_3,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,20to50,SA
181,Ligue 1,Before2016,Serie A,F,Tier_1,Tier_1,Under30,40Mto10M,85above,75to84,5.5to6,50to150,20to50,SA
185,Serie A,Before2016,Other,F,Tier_2,Tier_4,Under23,40Mto10M,75to84,65to74,5.5to6,below50,below20,SA
186,Serie A,Before2016,Serie A,F,Tier_1,Tier_2,Under23,40Mto10M,85above,65to74,5.5to6,50to150,20to50,SA
191,Other,Before2016,Other,D,Tier_1,Tier_2,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
193,Serie A,After2016,Serie A,D,Tier_1,Tier_1,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
196,Serie A,Before2016,Primera Division,F,Tier_1,Tier_1,Under30,40Mto10M,85above,85above,6to6.5,150to300,100above,SA
197,Serie A,After2016,Serie A,F,Tier_1,Tier_1,Under30,Above80M,85above,75to84,6to6.5,300above,100above,SA
203,Serie A,Before2016,Serie A,F,Tier_2,Tier_2,Under23,40Mto10M,75to84,below65,6to6.5,below50,below20,SA
204,Serie A,Before2016,Other,M,Tier_2,Tier_4,Under30,10Mto5M,75to84,75to84,5.5to6,150to300,below20,SA
205,Serie A,After2016,Serie A,M,Tier_1,Tier_2,Above30,40Mto10M,75to84,75to84,5.5to6,300above,20to50,SA
214,Serie A,Before2016,Other,F,Tier_2,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,SA
215,Primera Division,After2016,Serie A,F,Tier_1,Tier_2,Under23,40Mto10M,75to84,65to74,6to6.5,50to150,below20,SA
216,Serie A,After2016,Primera Division,F,Tier_2,Tier_1,Under23,40Mto10M,75to84,65to74,6to6.5,50to150,below20,SA
217,Premier League,Before2016,Primera Division,D,Tier_1,Tier_1,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
220,Serie A,After2016,Serie A,F,Tier_1,Tier_1,Under30,10Mto5M,75to84,75to84,5.5to6,150to300,20to50,SA
222,Primera Division,After2016,Serie A,M,Tier_1,Tier_1,Under30,10Mto5M,75to84,75to84,5.5to6,150to300,20to50,SA
224,Primera Division,Before2016,Primera Division,F,Tier_1,Tier_1,Under23,40Mto10M,85above,65to74,5.5to6,50to150,20to50,SA
225,Other,After2016,Primera Division,F,Tier_2,Tier_1,Under30,10Mto5M,75to84,75to84,5.5to6,50to150,20to50,SA
230,Primera Division,Before2016,Other,F,Tier_1,Tier_4,Under23,10Mto5M,85above,65to74,5.5to6,below50,below20,SA
239,Ligue 1,Before2016,Other,F,Tier_1,Tier_4,Under30,10Mto5M,75to84,65to74,6to6.5,50to150,20to50,SA
240,Premier League,After2016,Ligue 1,F,Tier_1,Tier_1,Under30,40Mto10M,75to84,65to74,6to6.5,50to150,20to50,SA
243,Premier League,After2016,Ligue 1,F,Tier_3,Tier_3,Under30,40Mto10M,75to84,75to84,6to6.5,50to150,20to50,SA
244,Ligue 1,Before2016,Ligue 1,F,Tier_1,Tier_1,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,20to50,SA
245,Primera Division,After2016,Ligue 1,F,Tier_1,Tier_1,Under30,40Mto10M,75to84,75to84,6to6.5,50to150,20to50,SA
248,Premier League,Before2016,Other,D,Tier_1,Tier_4,Under30,40Mto10M,75to84,65to74,6to6.5,50to150,below20,SA
249,Primera Division,After2016,Premier League,D,Tier_1,Tier_1,Under30,10Mto5M,75to84,75to84,6to6.5,50to150,below20,SA
250,Primera Division,Before2016,Other,M,Tier_1,Tier_4,Under23,10Mto5M,75to84,65to74,5.5to6,50to150,below20,SA
251,Other,After2016,Primera Division,M,Tier_1,Tier_1,Under30,10Mto5M,85above,75to84,5.5to6,50to150,below20,SA
253,Serie A,After2016,Primera Division,D,Tier_1,Tier_2,Under30,10Mto5M,75to84,75to84,6to6.5,50to150,below20,SA
255,Serie A,Before2016,Other,M,Tier_1,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,below50,below20,SA
256,Other,After2016,Serie A,M,Tier_1,Tier_1,Under23,40Mto10M,75to84,65to74,6to6.5,50to150,below20,SA
257,Ligue 1,After2016,Other,M,Tier_1,Tier_1,Under30,40Mto10M,85above,75to84,6to6.5,50to150,20to50,SA
261,Primera Division,After2016,Premier League,GK,Tier_2,Tier_1,Under30,10Mto5M,85above,75to84,6to6.5,50to150,below20,SA
264,Ligue 1,After2016,Other,D,Tier_1,Tier_4,Under23,10Mto5M,75to84,below65,6to6.5,below50,below20,SA
265,Other,After2016,Ligue 1,D,Tier_1,Tier_1,Under23,40Mto10M,85above,65to74,6to6.5,below50,below20,SA
267,Serie A,After2016,Serie A,F,Tier_1,Tier_1,Under23,40Mto10M,85above,65to74,6to6.5,50to150,20to50,SA
270,Premier League,After2016,Other,M,Tier_1,Tier_4,Under23,40Mto10M,75to84,65to74,below5.5,50to150,20to50,SA
271,Primera Division,After2016,Other,F,Tier_1,Tier_4,Under23,10Mto5M,75to84,65to74,5.5to6,50to150,below20,SA
272,Ligue 1,After2016,Other,M,Tier_1,Tier_4,Under23,10Mto5M,75to84,below65,5.5to6,below50,below20,SA
273,Primera Division,After2016,Ligue 1,M,Tier_2,Tier_1,Under23,40Mto10M,85above,75to84,5.5to6,50to150,below20,SA
275,Other,After2016,Other,F,Tier_1,Tier_4,Under23,10Mto5M,75to84,65to74,below5.5,below50,below20,SA
277,Premier League,After2016,Other,D,Tier_1,Tier_4,Under23,40Mto10M,75to84,65to74,6to6.5,50to150,20to50,SA
