ID,player_name,origin_league,origin_club_tier,age,transfer_price,year,arrival_league,arrival_club_tier,grouping_positions,overall_app,overall_gls,height,nationality
2563,Stanislav Kritsyuk,Liga Nos,Tier_3,U25,10Mto1M,2016,Premier Liga,Tier_2,GK,115,0,1.92,Russia
1707,Willy Boly,Liga Nos,Tier_3,U25,10Mto1M,2016,Liga Nos,Tier_1,CB,175,8,1.95,France
884,Willy Boly,Liga Nos,Tier_1,U30,40Mto10M,2018,Premier League,Tier_2,CB,260,15,1.95,France
4635,Luca Waldschmidt,1 Bundesliga,Tier_2,U21,10Mto1M,2016,1 Bundesliga,Tier_2,CF,52,3,1.81,Germany
2060,Luca Waldschmidt,1 Bundesliga,Tier_2,U25,10Mto1M,2018,1 Bundesliga,Tier_3,CF,95,17,1.81,Germany
5897,Marcus Rohdén,Other,Tier_4,U25,Below1M,2016,Serie A,Tier_4,RW,213,28,1.82,Sweden
3953,Viktor Claesson,Other,Tier_4,U25,10Mto1M,2016,Premier Liga,Tier_2,LW,,,1.83,Sweden
3760,José Rodríguez,Other,Tier_4,U21,10Mto1M,2016,1 Bundesliga,Tier_2,CM,,,1.86,Mexico
1706,Alex Telles,Other,Tier_4,U25,10Mto1M,2016,Liga Nos,Tier_1,LB,227,21,1.8,Brazil
3599,Bartlomiej Dragowski,Other,Tier_4,U21,10Mto1M,2016,Serie A,Tier_1,GK,83,0,1.91,Poland
2970,Karol Linetty,Other,Tier_4,U21,10Mto1M,2016,Serie A,Tier_2,CM,201,15,1.76,Poland
2740,Brad Smith,Premier League,Tier_1,U25,10Mto1M,2016,Premier League,Tier_2,LB,17,0,1.78,Australia
495,Jordon Ibe,Premier League,Tier_1,U21,40Mto10M,2016,Premier League,Tier_2,RW,157,11,1.76,England
4765,Will Keane,Premier League,Tier_1,U25,10Mto1M,2016,Premier League,Tier_2,CF,71,5,1.8796,England
6429,James Weir,Premier League,Tier_1,U21,Below1M,2016,Premier League,Tier_2,LW,4,0,,England
2015,Paddy McNair,Premier League,Tier_1,U21,10Mto1M,2016,Premier League,Tier_2,CDM,49,5,1.8796,Northern Ireland
4819,Donald Love,Premier League,Tier_1,U21,10Mto1M,2016,Premier League,Tier_2,RB,35,0,1.78,Scotland
4235,Sasa Lukic,Other,Tier_4,U21,10Mto1M,2016,Serie A,Tier_2,CM,122,13,1.82,Serbia
4484,Darko Brasanac,Other,Tier_4,U25,10Mto1M,2016,Primera Division,Tier_2,CM,131,10,1.78,Serbia
5101,Darko Brasanac,Primera Division,Tier_2,U30,Below1M,2019,Primera Division,Tier_3,CM,207,12,1.78,Serbia
3676,Sardar Azmoun,Premier Liga,Tier_2,U21,10Mto1M,2016,Premier Liga,Tier_3,CF,89,24,1.86,Iran
893,Sardar Azmoun,Premier Liga,Tier_2,U25,40Mto10M,2018,Premier Liga,Tier_1,CF,,,1.86,Iran
3152,Igor Portnyagin,Premier Liga,Tier_2,U30,10Mto1M,2016,Premier Liga,Tier_2,CF,171,40,1.91,Russia
4211,Isaac Mbenza,Other,Tier_4,U21,10Mto1M,2016,Ligue 1,Tier_3,RW,99,11,1.87,Belgium
2629,Paul-José Mpoku,Other,Tier_4,U25,10Mto1M,2016,Serie A,Tier_3,LW,184,30,1.79,DR Congo
3471,Ivan Santini,Other,Tier_4,U30,10Mto1M,2016,Ligue 1,Tier_3,CF,261,96,1.9,Croatia
5257,Arianit Ferati,1 Bundesliga,Tier_2,U21,Below1M,2016,1 Bundesliga,Tier_2,RW,46,10,1.68,Germany
716,Timo Werner,1 Bundesliga,Tier_2,U21,40Mto10M,2016,1 Bundesliga,Tier_2,CF,213,84,1.8,Germany
6565,Max Besuschkow,1 Bundesliga,Tier_2,U21,Below1M,2016,1 Bundesliga,Tier_2,CM,52,7,1.85,Germany
1253,Antonio Rüdiger,1 Bundesliga,Tier_2,U25,10Mto1M,2016,Serie A,Tier_1,CB,144,7,1.9,Germany
147,Antonio Rüdiger,Serie A,Tier_1,U25,40Mto10M,2017,Premier League,Tier_1,CB,217,12,1.9,Germany
5497,Pavel Mogilevets,Premier Liga,Tier_1,U25,Below1M,2016,Premier Liga,Tier_3,CM,,,1.83,Russia
3959,Pavel Mogilevets,Premier Liga,Tier_3,U25,10Mto1M,2017,Premier Liga,Tier_2,CM,89,5,1.83,Russia
1476,Dodô,Serie A,Tier_1,U25,10Mto1M,2016,Serie A,Tier_1,LB,45,0,1.66,Brazil
1992,Dodô,Serie A,Tier_1,U30,10Mto1M,2017,Serie A,Tier_2,LB,,,1.66,Brazil
6264,Alessandro Crescenzi,Serie A,Tier_1,U25,Below1M,2016,Serie A,Tier_3,LB,238,2,1.81,Italy
140,Renato Sanches,Liga Nos,Tier_1,U21,40Mto10M,2016,1 Bundesliga,Tier_1,CM,93,6,1.76,Portugal
411,Renato Sanches,1 Bundesliga,Tier_1,U25,40Mto10M,2019,Ligue 1,Tier_2,CM,124,9,1.76,Portugal
196,Gonçalo Guedes,Liga Nos,Tier_1,U21,40Mto10M,2016,Ligue 1,Tier_1,LW,,,1.79,Portugal
104,Gonçalo Guedes,Ligue 1,Tier_1,U21,40Mto10M,2018,Primera Division,Tier_1,LW,149,26,1.79,Portugal
3803,Florent Hadergjonaj,Other,Tier_4,U25,10Mto1M,2016,1 Bundesliga,Tier_4,RB,98,2,1.82,Kosovo
2126,Florent Hadergjonaj,1 Bundesliga,Tier_4,U25,10Mto1M,2018,Premier League,Tier_3,RB,160,2,1.82,Kosovo
4350,Fred Friday,Other,Tier_4,U21,10Mto1M,2016,Eredivisie,Tier_3,CF,85,29,,
610,Nampalys Mendy,Ligue 1,Tier_2,U25,40Mto10M,2016,Premier League,Tier_1,CDM,236,1,1.67,France
3883,Jimmy Durmaz,Other,Tier_4,U30,10Mto1M,2016,Ligue 1,Tier_3,LW,313,47,1.8,Sweden
628,Luka Milivojevic,Other,Tier_4,U25,40Mto10M,2016,Premier League,Tier_2,CDM,,,1.86,Serbia
1556,Arthur Masuaku,Other,Tier_4,U25,10Mto1M,2016,Premier League,Tier_1,LB,155,2,1.79,DR Congo
4413,Lukas Pokorny,Other,Tier_4,U25,10Mto1M,2016,Ligue 1,Tier_3,CB,,,1.9,Czech Republic
617,Ryan Mason,Premier League,Tier_1,U25,40Mto10M,2016,Premier League,Tier_2,CM,143,14,1.7526,England
2023,Tom Carroll,Premier League,Tier_1,U25,10Mto1M,2016,Premier League,Tier_2,CM,,,1.77,England
725,Ashley Williams,Premier League,Tier_2,A30,40Mto10M,2016,Premier League,Tier_1,CB,590,19,1.83,Wales
313,André Ayew,Premier League,Tier_2,U30,40Mto10M,2016,Premier League,Tier_1,LW,276,73,1.76,Ghana
337,André Ayew,Premier League,Tier_1,U30,40Mto10M,2017,Premier League,Tier_2,LW,,,1.76,Ghana
5160,Ahmad Benali,Serie A,Tier_2,U25,Below1M,2016,Serie A,Tier_3,CM,164,27,1.73,Libya
850,Riechedly Bazoer,Eredivisie,Tier_2,U21,40Mto10M,2016,1 Bundesliga,Tier_1,CM,,,1.84,Netherlands
4357,Riechedly Bazoer,1 Bundesliga,Tier_1,U25,10Mto1M,2019,Eredivisie,Tier_4,CM,124,10,1.84,Netherlands
1591,Anwar El Ghazi,Eredivisie,Tier_2,U21,10Mto1M,2016,Ligue 1,Tier_2,RW,,,1.88,Netherlands
1231,Anwar El Ghazi,Ligue 1,Tier_2,U25,10Mto1M,2019,Premier League,Tier_1,RW,159,34,1.88,Netherlands
2121,Viktor Fischer,Eredivisie,Tier_2,U25,10Mto1M,2016,Premier League,Tier_3,LW,102,26,1.81,Denmark
3027,Viktor Fischer,Premier League,Tier_3,U25,10Mto1M,2017,1 Bundesliga,Tier_2,LW,112,26,1.81,Denmark
6409,Sheraldo Becker,Eredivisie,Tier_2,U21,Below1M,2016,Eredivisie,Tier_4,RW,152,22,1.8,Netherlands
494,Borja Bastón,Primera Division,Tier_1,U25,40Mto10M,2016,Premier League,Tier_2,CF,235,86,1.91,Spain
1250,Miranda,Primera Division,Tier_1,A30,10Mto1M,2016,Serie A,Tier_1,CB,,,1.86,Brazil
4936,André,Other,Tier_4,U25,Below1M,2016,Liga Nos,Tier_2,CF,,,1.8,Italy
3184,Alexandre Pato,Other,Tier_4,U30,10Mto1M,2016,Primera Division,Tier_1,CF,218,86,1.8,Brazil
4056,Matheus Pereira,Other,Tier_4,U21,10Mto1M,2016,Serie A,Tier_3,LW,,,1.75,
4067,Matheus Pereira,Serie A,Tier_3,U21,10Mto1M,2017,Serie A,Tier_1,LW,84,25,1.75,
4900,Marvin Friedrich,1 Bundesliga,Tier_2,U21,Below1M,2016,1 Bundesliga,Tier_3,CB,37,4,1.9,Germany
3819,Marvin Friedrich,1 Bundesliga,Tier_3,U25,10Mto1M,2019,1 Bundesliga,Tier_4,CB,108,5,1.9,Germany
4911,Marvin Friedrich,1 Bundesliga,Tier_4,U25,Below1M,2019,1 Bundesliga,Tier_3,CB,108,5,1.9,Germany
4326,Robert Leipertz,1 Bundesliga,Tier_2,U25,10Mto1M,2016,1 Bundesliga,Tier_4,RW,165,56,1.83,
6142,Robert Leipertz,1 Bundesliga,Tier_4,U25,Below1M,2016,1 Bundesliga,Tier_2,RW,165,56,1.83,
54,Leroy Sané,1 Bundesliga,Tier_2,U21,80Mto40M,2016,Premier League,Tier_1,LW,136,36,1.83,Germany
6236,Fernando Amorebieta,Premier League,Tier_2,A30,Below1M,2016,Primera Division,Tier_4,CB,344,7,1.92,Venezuela
1460,Alisson,Serie A,Tier_2,U25,10Mto1M,2016,Serie A,Tier_1,GK,81,0,1.91,Brazil
41,Alisson,Serie A,Tier_1,U25,80Mto40M,2018,Premier League,Tier_1,GK,139,0,1.91,Brazil
5082,Rui Silva,Serie A,Tier_2,U25,Below1M,2016,Primera Division,Tier_3,GK,,,1.89,Portugal
8,Paul Pogba,Serie A,Tier_1,U25,Above80M,2016,Premier League,Tier_1,CM,226,52,1.91,France
1616,Lewis Cook,Other,Tier_4,U21,10Mto1M,2016,Premier League,Tier_2,CM,148,1,1.75,England
2891,Seko Fofana,Premier League,Tier_1,U21,10Mto1M,2016,Serie A,Tier_2,CM,149,13,1.85,Ivory Coast
1633,Gerónimo Rulli,Premier League,Tier_1,U25,10Mto1M,2016,Primera Division,Tier_2,GK,108,0,1.89,Argentina
2265,Gerónimo Rulli,Other,Tier_4,U25,10Mto1M,2016,Premier League,Tier_1,GK,108,0,1.89,Argentina
2503,Bryan Dabo,Ligue 1,Tier_3,U25,10Mto1M,2016,Ligue 1,Tier_2,CM,127,10,1.87,Burkina Faso
3239,Bryan Dabo,Ligue 1,Tier_2,U25,10Mto1M,2017,Serie A,Tier_1,CM,,,1.87,Burkina Faso
3369,Jonas Martin,Ligue 1,Tier_3,U30,10Mto1M,2016,Primera Division,Tier_2,CM,202,25,1.83,France
4422,Jonas Martin,Primera Division,Tier_2,U30,10Mto1M,2017,Ligue 1,Tier_3,CM,264,32,1.83,France
2520,Jonas Martin,Ligue 1,Tier_3,U30,10Mto1M,2019,Ligue 1,Tier_2,CM,264,32,1.83,France
5328,Jamel Saihi,Ligue 1,Tier_3,U30,Below1M,2016,Ligue 1,Tier_3,CDM,177,1,1.81,Tunisia
295,Samuel Umtiti,Ligue 1,Tier_1,U25,40Mto10M,2016,Primera Division,Tier_1,CB,227,5,1.82,France
6163,Hervin Ongenda,Ligue 1,Tier_1,U21,Below1M,2016,Eredivisie,Tier_4,CF,,,1.69,France
4902,Omar Mascarell,Primera Division,Tier_1,U25,Below1M,2016,1 Bundesliga,Tier_2,CDM,184,11,1.8,Spain
2592,Omar Mascarell,1 Bundesliga,Tier_2,U25,10Mto1M,2018,Primera Division,Tier_1,CDM,221,11,1.8,Spain
1056,Omar Mascarell,Primera Division,Tier_1,U25,10Mto1M,2018,1 Bundesliga,Tier_2,CDM,221,11,1.8,Spain
274,Jesé,Primera Division,Tier_1,U25,40Mto10M,2016,Ligue 1,Tier_1,CF,153,46,1.78,Spain
1631,Denis Cheryshev,Primera Division,Tier_1,U25,10Mto1M,2016,Primera Division,Tier_1,LW,148,29,1.79,Russia
1871,Denis Cheryshev,Primera Division,Tier_1,U30,10Mto1M,2019,Primera Division,Tier_1,LW,222,34,1.79,Russia
4488,Álvaro Medrán,Primera Division,Tier_1,U25,10Mto1M,2016,Primera Division,Tier_1,CM,120,25,1.76,Spain
1910,Fernando Llorente,Primera Division,Tier_1,A30,10Mto1M,2016,Premier League,Tier_2,CF,433,143,1.93,Basque Country
630,Fernando Llorente,Premier League,Tier_2,A30,40Mto10M,2017,Premier League,Tier_1,CF,469,145,1.93,Basque Country
4138,Dominic Calvert-Lewin,Premier League,Tier_3,U21,10Mto1M,2016,Premier League,Tier_1,CF,141,35,1.87,England
5200,Aaron Ramsdale,Premier League,Tier_3,U21,Below1M,2016,Premier League,Tier_2,GK,0,0,1.88,England
1187,José Fonte,Premier League,Tier_1,A30,10Mto1M,2016,Premier League,Tier_1,CB,,,1.91,Portugal
106,João Mário,Liga Nos,Tier_2,U25,40Mto10M,2016,Serie A,Tier_1,CM,188,17,1.73,Portugal
5077,Alin Tosca,Other,Tier_4,U25,Below1M,2016,Primera Division,Tier_2,LB,,,1.81,Romania
1172,Wissam Ben Yedder,Ligue 1,Tier_3,U25,10Mto1M,2016,Primera Division,Tier_1,CF,290,124,1.7,France
91,Wissam Ben Yedder,Primera Division,Tier_1,U30,40Mto10M,2019,Ligue 1,Tier_1,CF,316,142,1.7,France
5081,Javi Fuego,Ligue 1,Tier_1,A30,Below1M,2016,Primera Division,Tier_3,CDM,,,1.81,Spain
4489,Javi Fuego,Primera Division,Tier_3,A30,10Mto1M,2017,Primera Division,Tier_1,CDM,,,1.81,Spain
214,Paco Alcácer,Ligue 1,Tier_1,U25,40Mto10M,2016,Primera Division,Tier_1,CF,214,85,1.75,Spain
380,Paco Alcácer,Primera Division,Tier_1,U25,40Mto10M,2019,1 Bundesliga,Tier_1,CF,251,108,1.75,Spain
932,James Tomkins,Premier League,Tier_1,U30,40Mto10M,2016,Premier League,Tier_2,CB,312,16,1.92,Great Britain
819,Yunus Malli,1 Bundesliga,Tier_2,U25,40Mto10M,2016,1 Bundesliga,Tier_1,CAM,,,1.79,Turkey
1757,Loris Karius,1 Bundesliga,Tier_2,U25,10Mto1M,2016,Premier League,Tier_1,GK,147,0,1.89,Germany
4903,Rafal Gikiewicz,1 Bundesliga,Tier_4,U30,Below1M,2016,1 Bundesliga,Tier_3,GK,,,1.9,
3016,Gerrit Holtmann,1 Bundesliga,Tier_4,U21,10Mto1M,2016,1 Bundesliga,Tier_2,LW,86,17,1.83,Germany
3804,Thomas Delaney,Other,Tier_4,U25,10Mto1M,2016,1 Bundesliga,Tier_2,CM,217,26,1.82,Denmark
402,Thomas Delaney,1 Bundesliga,Tier_2,U30,40Mto10M,2018,1 Bundesliga,Tier_1,CM,253,29,1.82,Denmark
4414,Grégory Sertic,Ligue 1,Tier_2,U30,10Mto1M,2016,Ligue 1,Tier_1,CDM,,,1.83,France
6526,Gregor Kobel,Other,Tier_4,U21,Below1M,2016,1 Bundesliga,Tier_2,GK,,,1.94,Switzerland
2830,Ron-Robert Zieler,1 Bundesliga,Tier_3,U30,10Mto1M,2016,Premier League,Tier_1,GK,211,0,1.88,Germany
2462,Ron-Robert Zieler,Premier League,Tier_1,U30,10Mto1M,2017,1 Bundesliga,Tier_2,GK,279,0,1.88,Germany
4351,Wout Weghorst,Eredivisie,Tier_4,U25,10Mto1M,2016,Eredivisie,Tier_3,CF,,,,
1017,Wout Weghorst,Eredivisie,Tier_3,U25,10Mto1M,2018,1 Bundesliga,Tier_1,CF,,,,
4728,Manuel Gulde,Other,Tier_4,U25,10Mto1M,2016,1 Bundesliga,Tier_3,CB,170,8,1.84,Germany
753,Leon Bailey,Other,Tier_4,U21,40Mto10M,2016,1 Bundesliga,Tier_1,LW,,,1.78,Jamaica
524,Wilfred Ndidi,Other,Tier_4,U21,40Mto10M,2016,Premier League,Tier_1,CDM,,,1.83,Nigeria
1668,Christian Kabasele,Other,Tier_4,U25,10Mto1M,2016,Premier League,Tier_2,CB,218,20,1.87,Belgium
3981,Luis Hernández,Premier League,Tier_1,U30,10Mto1M,2016,Primera Division,Tier_2,CB,,,1.75,Mexico
745,Jeffrey Schlupp,Premier League,Tier_1,U25,40Mto10M,2016,Premier League,Tier_2,LW,,,1.78,Ghana
2766,Florian Kainz,Other,Tier_4,U25,10Mto1M,2016,1 Bundesliga,Tier_2,LW,215,31,1.75,Austria
2635,Patrik Schick,Other,Tier_4,U21,10Mto1M,2016,Serie A,Tier_2,CF,63,19,1.86,Czech Republic
1261,Patrik Schick,Serie A,Tier_2,U25,10Mto1M,2018,Serie A,Tier_1,CF,,,1.86,Czech Republic
2695,Ladislav Krejci,Other,Tier_4,U25,10Mto1M,2016,Serie A,Tier_2,LW,207,38,1.78,Czech Republic
4650,Kehinde Fatai,Other,Tier_4,U30,10Mto1M,2016,Premier Liga,Tier_4,CF,253,74,1.8,Nigeria
5284,Christian Mathenia,1 Bundesliga,Tier_4,U25,Below1M,2016,1 Bundesliga,Tier_2,GK,156,0,1.89,
5707,Christian Mathenia,1 Bundesliga,Tier_2,U30,Below1M,2018,1 Bundesliga,Tier_4,GK,178,0,1.89,
4201,Marius Müller,1 Bundesliga,Tier_4,U25,10Mto1M,2016,1 Bundesliga,Tier_2,GK,,,,
3349,Caglar Söyüncü,Other,Tier_4,U21,10Mto1M,2016,1 Bundesliga,Tier_3,CB,84,3,1.86,Turkey
378,Caglar Söyüncü,1 Bundesliga,Tier_3,U25,40Mto10M,2018,Premier League,Tier_1,CB,118,4,1.86,Turkey
5901,Carlão,Other,Tier_4,U30,Below1M,2016,Serie A,Tier_2,CB,,,1.9,
2435,David Marshall,Premier League,Tier_3,A30,10Mto1M,2016,Premier League,Tier_2,GK,454,0,1.905,Scotland
3673,Fábio,Premier League,Tier_3,U30,10Mto1M,2016,Premier League,Tier_3,RB,156,3,1.72,Brazil
3895,Fábio,Premier League,Tier_3,U30,10Mto1M,2018,Ligue 1,Tier_3,RB,186,3,1.72,Brazil
4696,Arnaud Souquet,Ligue 1,Tier_3,U25,10Mto1M,2016,Ligue 1,Tier_2,RB,152,3,1.8,France
3280,Arnaud Souquet,Other,Tier_4,U30,10Mto1M,2019,Ligue 1,Tier_3,RB,184,3,1.8,France
483,Aleksandar Dragovic,Other,Tier_4,U25,40Mto10M,2016,1 Bundesliga,Tier_1,CB,264,9,1.86,Austria
4330,Vincent Sierro,Other,Tier_4,U21,10Mto1M,2016,1 Bundesliga,Tier_3,CM,,,1.84,
3090,Léo Lacroix,Other,Tier_4,U25,10Mto1M,2016,Ligue 1,Tier_2,CB,108,1,1.97,Switzerland
1743,Edimilson Fernandes,Other,Tier_4,U21,10Mto1M,2016,Premier League,Tier_1,CM,90,2,1.9,Switzerland
1496,Edimilson Fernandes,Premier League,Tier_1,U25,10Mto1M,2019,1 Bundesliga,Tier_2,CM,123,4,1.9,Switzerland
5158,Ante Budimir,Other,Tier_4,U25,Below1M,2016,Serie A,Tier_4,CF,166,51,1.9,Croatia
4161,Ante Budimir,Serie A,Tier_4,U25,10Mto1M,2016,Serie A,Tier_2,CF,166,51,1.9,Croatia
3744,Ante Budimir,Serie A,Tier_4,U30,10Mto1M,2019,Primera Division,Tier_4,CF,225,66,1.9,Croatia
2564,Moritz Bauer,Other,Tier_4,U25,10Mto1M,2016,Premier Liga,Tier_2,RB,181,0,1.81,Austria
1758,Moritz Bauer,Premier Liga,Tier_2,U25,10Mto1M,2017,Premier League,Tier_2,RB,,,1.81,Austria
4730,Onur Bulut,1 Bundesliga,Tier_4,U25,10Mto1M,2016,1 Bundesliga,Tier_3,RW,135,9,1.81,Turkey
5606,Michal Duris,Other,Tier_4,U30,Below1M,2016,Premier Liga,Tier_4,CF,,,1.83,Slovakia
2051,Serge Gnabry,Premier League,Tier_1,U21,10Mto1M,2016,1 Bundesliga,Tier_2,RW,38,12,1.75,Germany
1353,Serge Gnabry,1 Bundesliga,Tier_2,U21,10Mto1M,2017,1 Bundesliga,Tier_1,RW,91,33,1.75,Germany
2886,Davide Astori,Serie A,Tier_2,U30,10Mto1M,2016,Serie A,Tier_1,CB,345,8,1.88,Italy
1053,Josip Brekalo,Other,Tier_4,U21,10Mto1M,2016,1 Bundesliga,Tier_1,LW,82,10,1.75,Croatia
332,Marko Pjaca,Other,Tier_4,U21,40Mto10M,2016,Serie A,Tier_1,LW,124,28,1.86,Croatia
2205,Marcelo Brozovic,Other,Tier_4,U25,10Mto1M,2016,Serie A,Tier_1,CDM,275,33,1.81,Croatia
2050,Alen Halilovic,Primera Division,Tier_1,U21,10Mto1M,2016,1 Bundesliga,Tier_2,CAM,,,1.7,Croatia
1351,Marc Bartra,Primera Division,Tier_1,U25,10Mto1M,2016,1 Bundesliga,Tier_1,CB,171,9,1.84,Catalonia
1029,Marc Bartra,1 Bundesliga,Tier_1,U30,10Mto1M,2017,Primera Division,Tier_2,CB,,,1.84,Catalonia
6123,Hans Hateboer,Eredivisie,Tier_4,U25,Below1M,2016,Serie A,Tier_2,RB,,,1.87,Netherlands
