,ID,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,potential_fifa,overall_fifa,new_height,appearances,goals,N
116,1102,Other,Before2016,Primera Division,D,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,50to150,below20,SA
124,1324,Other,Before2016,Other,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,below20,SA
125,296,Primera Division,After2016,Other,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,75to84,65to74,5.5to6,150to300,20to50,SA
127,901,Primera Division,Before2016,Other,D,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,75to84,75to84,6to6.5,50to150,below20,SA
128,71,Premier League,Before2016,Ligue 1,D,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,85above,75to84,6to6.5,150to300,below20,SA
129,1043,Premier League,Before2016,Premier League,F,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,65to74,65to74,6to6.5,150to300,100above,SA
132,1395,Premier League,Before2016,Primera Division,GK,Tier_1,Tier_2,A30,Above30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,300above,below20,SA
136,92,Premier League,Before2016,Primera Division,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,85above,75to84,5.5to6,150to300,50to100,SA
138,293,Primera Division,Before2016,Other,M,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,75to84,75to84,5.5to6,150to300,20to50,SA
140,1091,Premier League,Before2016,Serie A,D,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,75to84,75to84,6to6.5,50to150,below20,SA
141,1680,Premier League,After2016,Premier League,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
143,1841,Other,Before2016,Other,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,85above,75to84,6to6.5,150to300,20to50,SA
144,318,Primera Division,After2016,Other,D,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,75to84,75to84,6to6.5,150to300,20to50,SA
148,1521,Primera Division,Before2016,Primera Division,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,85above,65to74,below5.5,150to300,20to50,SA
151,688,Serie A,Before2016,Serie A,F,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,85above,75to84,6to6.5,50to150,below20,SA
152,792,Premier League,After2016,Serie A,F,Tier_2,Tier_1,U25,Under30,40Mto10M,20Mto5M,75to84,75to84,6to6.5,150to300,below20,SA
153,548,Serie A,Before2016,Other,F,Tier_1,Tier_4,U21,Under23,40Mto10M,20Mto5M,75to84,below65,6to6.5,below50,below20,SA
154,203,Premier League,Before2016,Serie A,F,Tier_1,Tier_1,U21,Under23,40Mto10M,60Mto20M,85above,75to84,6to6.5,50to150,20to50,SA
161,1446,Serie A,Before2016,Serie A,D,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,150to300,below20,SA
