,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
100,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(2,28]",1.0,3,5,3,Apartment,Allston,Commonwealth Avenue
101,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(2,28]",1.0,3,5,3,Apartment,Allston,Commonwealth Avenue
102,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","(3,5]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(2,28]",1.0,3,5,3,Apartment,Allston,Commonwealth Avenue
103,"(-12.0209,9.92724]","(544583,870941]","(1,2]","(2,8]","(3,5]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","(199,5555]","[1,2]",2.0,2,4,3,Condominium,East Boston,Leyden Street
104,"(9.92724,1270.48]","(544583,870941]","[0,1]","(1,2]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,Back Bay,Huntington Avenue
105,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","(2400.33,4704.33]","(199,5555]","(28,353]",1.0,2,5,3,Condominium,South Boston,Gold Street
106,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(33,52]","[2.75,3.47373]","(4704.33,19715]","(199,5555]","(2,28]",3.0,2,5,3,Apartment,Dorchester,Sagamore Street
107,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,4,5,5,Apartment,South End,Rutland Street
108,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","(199,5555]","[1,2]",1.0,2,4,4,Condominium,East Boston,Webster Street
109,"(9.92724,1270.48]","(544583,870941]","[0,1]","(1,2]","(3,5]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,3,5,5,Condominium,Back Bay,Beacon Street
110,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,4,5,5,Apartment,South End,Worcester Street
111,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","[60,135]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Mount Vernon Street
112,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","(199,5555]","[1,2]",2.0,3,4,3,Condominium,South Boston,G Street
113,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","[60,135]","(28,353]",1.0,3,5,5,Apartment,Downtown,Charles Street South
114,"[-38.1201,-12.0209]","(544583,870941]","(1,2]","(2,8]","(5,20]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,1,3,3,Condominium,Brighton,Bostonia Avenue
115,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(1,2]","(3,5]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(28,353]",1.0,2,5,3,Apartment,Allston,Armington Street
116,"(9.92724,1270.48]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","(4704.33,19715]","(199,5555]","[1,2]",1.0,2,4,3,Apartment,Dorchester,Hamilton Street
117,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(30,33]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,South End,Union Park
118,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(1,2]","(3,5]","[12,30]","(3.47373,3.70142]","[898,2400.33]","[60,135]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Cedar Lane Way
119,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","(2,28]",1.0,2,5,5,Apartment,Beacon Hill,Smith Court
