,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
0,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","(30,33]","[2.75,3.47373]","(4704.33,19715]","(135,199]","(28,353]",1.0,3,5,3,Apartment,Dorchester,Boston Street
1,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(2,28]",1.0,4,5,3,Apartment,Jamaica Plain,Goodrich Road
2,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,3,4,4,Apartment,Charlestown,Salem Street
3,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","(2,28]",1.0,3,5,4,Apartment,Charlestown,Winthrop Street
4,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(2,28]",1.0,4,4,3,Apartment,Allston,Easton Street
5,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","[1,2]",1.0,3,5,3,Apartment,Jamaica Plain,Clive Street
6,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(2,8]","(3,5]","(33,52]","[2.75,3.47373]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,3,4,3,Apartment,South Boston,I Street
7,"(-12.0209,9.92724]","(544583,870941]","(1,2]","(1,2]","(5,20]","(30,33]","[2.75,3.47373]","(4704.33,19715]","(135,199]","(28,353]",2.5,2,4,3,Condominium,Dorchester,Sawyer Avenue
8,"(-12.0209,9.92724]","(544583,870941]","(2,6]","(2,8]","(5,20]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,2,4,2,Apartment,West Roxbury,Alameda Road
9,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,2,5,3,Apartment,Charlestown,Green Street
10,"(9.92724,1270.48]","(544583,870941]","(1,2]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","[1,2]",2.0,3,5,5,Condominium,South End,Waltham Street
11,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","(3,5]","(30,33]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,4,4,Apartment,Jamaica Plain,Orchardhill Road
12,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","(3,5]","(33,52]","[2.75,3.47373]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,North End,Hanover Street
13,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","[0,1]","[2,3]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Condominium,Bay Village,Isabella Street
14,"(9.92724,1270.48]","(544583,870941]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Back Bay,Marlborough Street
15,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","(199,5555]","(2,28]",1.5,2,4,4,Apartment,Roxbury,Thornton Street
16,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","[2,3]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,3,5,3,Apartment,Allston,Quint Avenue
17,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","(3,5]","(30,33]","(3.47373,3.70142]","(2400.33,4704.33]","(135,199]","(28,353]",1.0,4,5,5,Apartment,Roxbury,Massachusetts Avenue
18,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(1,2]","(3,5]","(30,33]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","[1,2]",1.0,4,5,5,Apartment,South End,West Canton Street
19,"(9.92724,1270.48]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","(33,52]","(3.70142,5.27273]","[898,2400.33]","(199,5555]","(2,28]",2.0,3,5,5,Apartment,Beacon Hill,Charles Street
20,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","[0,1]","(3,5]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,2,4,3,Condominium,Brighton,Corey Road
21,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(5,20]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","(199,5555]","[1,2]",2.0,2,4,2,Apartment,West Roxbury,Centre Street
22,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(5,20]","(33,52]","[2.75,3.47373]","(4704.33,19715]","(199,5555]","(2,28]",2.0,2,3,4,Condominium,Jamaica Plain,Weld Hill Street
23,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","(3,5]","(33,52]","[2.75,3.47373]","(2400.33,4704.33]","(135,199]","(28,353]",1.0,4,5,4,Apartment,South End,Worcester Square
24,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(2,28]",1.0,2,4,4,Condominium,Brighton,Commonwealth Avenue Frontage Road Wb
25,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",2.5,3,5,5,Apartment,Beacon Hill,Beacon Street
26,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
27,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(135,199]","(28,353]",1.0,3,5,5,Apartment,South End,Bond Street
28,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,2,5,5,Apartment,Beacon Hill,Phillips Street
29,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
30,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
31,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","[2,3]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Apartment,South End,Tremont Street
32,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
33,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
34,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
35,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
36,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
37,"(-12.0209,9.92724]","(870941,1.14825e+07]","(1,2]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",2.5,2,5,5,Condominium,Beacon Hill,Pinckney Street
38,"(-12.0209,9.92724]","[165887,544583]","[0,1]","(1,2]","[2,3]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","(2,28]",1.0,3,5,4,Condominium,East Boston,Bennington Street
39,"(9.92724,1270.48]","[165887,544583]","(1,2]","(2,8]","(3,5]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","(2,28]",2.0,4,5,5,Apartment,Fenway,Peterborough Street
40,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
41,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,3,5,5,Apartment,Beacon Hill,Temple Street
42,"(9.92724,1270.48]","(870941,1.14825e+07]","(1,2]","(1,2]","(5,20]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",2.0,3,5,5,Apartment,Back Bay,Commonwealth Avenue
43,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","(2,28]",1.0,4,5,5,Apartment,Fenway,Edgerly Road
44,"[-38.1201,-12.0209]","[165887,544583]","[0,1]","(1,2]","[2,3]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,3,5,3,Apartment,Allston,Quint Avenue
45,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","(3,5]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,4,5,5,Apartment,South End,Columbus Avenue
46,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","(3,5]","[12,30]","(3.47373,3.70142]","[898,2400.33]","(135,199]","[1,2]",1.0,4,5,5,Apartment,South End,Appleton Street
47,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","(28,353]",1.0,4,5,5,Apartment,Back Bay,Beacon Street
48,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","(3,5]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,3,4,4,Apartment,Brighton,Commonwealth Avenue
49,"(-12.0209,9.92724]","(544583,870941]","(1,2]","(2,8]","(3,5]","(33,52]","[2.75,3.47373]","(4704.33,19715]","[60,135]","(2,28]",1.0,3,4,4,Apartment,Jamaica Plain,Park Lane
50,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","(3,5]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","(2,28]",1.0,4,5,5,Apartment,South End,West Canton Street
51,"(-12.0209,9.92724]","[165887,544583]","(2,6]","(2,8]","(5,20]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(2,28]",1.0,1,4,2,Apartment,West Roxbury,Washington Street
52,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(3,5]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,2,4,3,Apartment,Hyde Park,Business Street
53,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(3,5]","[12,30]","[2.75,3.47373]","(4704.33,19715]","(135,199]","(28,353]",1.0,2,4,4,Apartment,Roxbury,Blue Hill Avenue
54,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(5,20]","(33,52]","[2.75,3.47373]","(2400.33,4704.33]","(135,199]","[1,2]",1.0,3,5,4,Apartment,East Boston,Sumner Street
55,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(5,20]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","[1,2]",1.0,2,4,3,Apartment,East Boston,Byron Street
56,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","(4704.33,19715]","(135,199]","[1,2]",1.0,3,4,4,Apartment,Dorchester,Geneva Avenue
57,"(9.92724,1270.48]","[165887,544583]","[0,1]","(2,8]","(5,20]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","(199,5555]","[1,2]",1.0,1,3,3,Apartment,Brighton,Larch Street
58,"(-12.0209,9.92724]","[165887,544583]","(1,2]","(1,2]","(5,20]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","[60,135]","[1,2]",1.0,3,5,4,Apartment,East Boston,Haynes Street
59,"(9.92724,1270.48]","[165887,544583]","(2,6]","(2,8]","(5,20]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(28,353]",1.0,2,4,3,Apartment,Brighton,Hardwick Street
60,"(-12.0209,9.92724]","[165887,544583]","(2,6]","(2,8]","(5,20]","[12,30]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,4,3,Condominium,Dorchester,Monadnock Street
61,"(-12.0209,9.92724]","[165887,544583]","(1,2]","(2,8]","(3,5]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,3,5,4,Apartment,East Boston,Princeton Street
62,"(-12.0209,9.92724]","[165887,544583]","[0,1]","(1,2]","(3,5]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,2,5,4,Apartment,East Boston,Lexington Street
63,"(9.92724,1270.48]","[165887,544583]","(1,2]","(2,8]","(5,20]","(30,33]","[2.75,3.47373]","(4704.33,19715]","(199,5555]","[1,2]",1.0,2,4,4,Apartment,East Boston,Marginal Street
64,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(3,5]","(30,33]","[2.75,3.47373]","(4704.33,19715]","(135,199]","[1,2]",2.0,2,4,4,Condominium,Dorchester,Brent Street
65,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","[12,30]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,1,5,3,Condominium,South Boston,Telegraph Street
66,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(5,20]","(30,33]","(3.47373,3.70142]","(4704.33,19715]","(135,199]","(2,28]",1.0,4,5,4,Condominium,Jamaica Plain,Brookside Avenue
67,"(9.92724,1270.48]","(544583,870941]","(1,2]","(1,2]","(3,5]","[12,30]","[2.75,3.47373]","(2400.33,4704.33]","(199,5555]","[1,2]",1.5,2,5,3,Condominium,South Boston,K Street
68,"(9.92724,1270.48]","(544583,870941]","(1,2]","(2,8]","(5,20]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","(199,5555]","[1,2]",1.0,3,4,4,Apartment,Roxbury,Ellis Street
69,"(-12.0209,9.92724]","(544583,870941]","(2,6]","(2,8]","(3,5]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(2,28]",1.0,4,4,3,Apartment,Brighton,Waverly Street
70,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,3,4,4,Apartment,Jamaica Plain,Montebello Road
71,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","(199,5555]","(2,28]",1.0,2,5,4,Apartment,Mission Hill,Torpie Street
72,"(-12.0209,9.92724]","(544583,870941]","(1,2]","(2,8]","(3,5]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(28,353]",1.0,3,4,4,Apartment,Mission Hill,Colburn Street
