player_name,height,nationality
Alessio Cerci,1.78,Italy
Mouctar Diakhaby,1.92,France
Lucas Ocampos,1.87,Argentina
Diego Carlos,1.86,
Wesley Sneijder,1.7,Netherlands
Klaas-Jan Huntelaar,1.86,Netherlands
Robert Acquafresca,1.84,Italy (Olympics)
Milos Krasic,1.85,Serbia
Mirko Vucinic,1.86,Montenegro
Samir Handanovic,1.93,Slovenia
Angelo Ogbonna,1.91,Italy
Roberto Pereyra,1.82,Argentina
Mario Suárez,1.88,Spain
Ricardo Rodríguez,1.8,Switzerland
Gianluca Caprari,1.76,Italy
Grégoire Defrel,1.8,
Riccardo Orsolini,1.83,Italy
Shane Long,1.8,Republic of Ireland
Roger Martínez,1.8,Colombia
Lloyd Kelly,1.78,England
Kurt Zouma,1.9,France
Victor Wanyama,1.88,Kenya
Filip Benkovic,1.94,Croatia
Maxi Gómez,1.86,Uruguay
Jakub Jankto,1.84,Czech Republic
Ibrahim Amadou,1.83,France
Seydou Doumbia,1.79,Ivory Coast
Cengiz Ünder,1.73,Turkey
Clinton N'Jie,1.75,Cameroon
Filip Kostic,1.84,Serbia
Timo Werner,1.8,Germany
Daniel Ginczek,1.91,Germany
Pizzi,1.77,Portugal
Thiago Maia,1.78,Brazil
Jean-Eudes Aholou,1.87,Ivory Coast
Darío Benedetto,1.76,Argentina
Dusan Tadic,1.81,Serbia
Petr Cech,1.96,Czech Republic
Ashley Williams,1.83,Wales
Danny Ward,1.91,Wales
Rachid Ghezzal,1.82,Algeria
Diogo Jota,1.78,Portugal
Keirrison,1.84,
Sami Khedira,1.89,Germany
Jordi Alba,1.7,Catalonia
Carlos Vela,1.78,Mexico
Rúben Semedo,1.89,Portugal
Enes Ünal,1.85,Turkey
Francis Coquelin,1.78,France
Diego Lainez,1.67,Mexico
Joan Jordán,1.84,Catalonia
Piotr Zielinski,1.77,Poland
Lautaro Martínez,1.74,Argentina
Gareth Barry,1.85,England
Saido Berahino,1.8,Burundi
Mauricio Isla,1.78,Chile
Jeffrey Schlupp,1.78,Ghana
Roberto Soriano,1.82,Italy
Jay Rodríguez,1.8542,England
Ruslan Malinovskyi,1.81,Ukraine
Michael Turner,1.9304,
Chris Mepham,1.91,Wales
Jérôme Boateng,1.92,Germany
Leon Bailey,1.78,Jamaica
Benjamin Lecomte,1.86,France
Henry Onyekuru,1.75,Nigeria
Raúl Meireles,1.79,Portugal
Christian Eriksen,1.82,Denmark
Nathan Redmond,1.73,England
Leander Dendoncker,1.88,Belgium
Joris Gnagnon,1.82,France
Eduardo Vargas,1.74,Chile
Marten de Roon,1.85,Netherlands
Ryan Bertrand,1.79,England
Fabio Borini,1.8,Italy
Benik Afobe,1.83,DR Congo
Ezri Konsa,1.83,England
Sergi Darder,1.8,Spain
Rafael van der Vaart,1.76,Netherlands
Charles Aránguiz,1.71,Chile
Yannick Gerhardt,1.84,Germany
Sandro Wagner,1.94,Germany
Christopher Nkunku,1.78,France
Bafétimbi Gomis,1.86,France
Valentin Rongier,1.72,
Alexis Claude-Maurice,1.74,France
Gary Medel,1.71,Chile
Juan Foyth,,Argentina
Davy Pröpper,1.85,Netherlands
Steve Mounié,1.9,Benin
Gerard Deulofeu,1.77,Catalonia
Bojan Krkic,1.7,Catalonia
Lucas Silva,1.82,Brazil
Nicola Sansone,1.75,Italy
Emre Mor,1.69,Turkey
Mauro Icardi,1.81,Argentina
Marko Rog,1.8,Croatia
Ramiro Funes Mori,1.86,Argentina
Roman Eremenko,1.85,Finland
Denis Suárez,1.78,Galicia
Ben Davies,1.81,Wales
Divock Origi,1.85,Belgium
Brown Ideye,1.81,Nigeria
Adam Johnson,1.75,
Hugo Lloris,1.88,France
Simon Kjær,1.91,Denmark
Yunus Malli,1.79,Turkey
Yevhen Konoplianka,1.78,Ukraine
Sven Bender,1.86,Germany
Stefan Lainer,1.75,Austria
Razvan Marin,1.77,Romania
Stanley Nsoki,1.78,France
Laurent Koscielny,1.86,France
Jan Vertonghen,1.89,Belgium
Fraser Forster,2.01,England
Mohamed Elneny,1.8,Egypt
Roque Mesa,1.71,
Luuk de Jong,1.88,Netherlands
Rodrigo Bentancur,1.87,Uruguay
Bruno Peres,1.78,
Alex Pritchard,1.71,England
Vincent Aboubakar,1.84,Cameroon
Matej Vydra,1.8,Czech Republic
Wojciech Szczesny,1.95,Poland
Max Kruse,1.8,Germany
Sebastian Rode,1.79,Germany
Raphaël Guerreiro,1.7,Portugal
Riechedly Bazoer,1.84,Netherlands
Ömer Toprak,1.86,Turkey
Mahmoud Dahoud,1.77,Germany
Denis Zakaria,1.89,Switzerland
Mitchell Weiser,1.77,Germany
Marcelo Saracchi,1.72,Uruguay
Mickaël Cuisance,1.81,France
Hannes Wolf,1.79,Austria
Diadie Samassékou,1.75,Mali
David Neres,1.76,Brazil
Maximiliano Romero,1.79,
Ola John,1.8,Netherlands
Shoya Nakajima,1.67,Japan
Stéphane Mbia,1.9,Cameroon
Marco Verratti,1.65,Italy
Nemanja Radonjic,1.85,Serbia
Victor Osimhen,1.86,Nigeria
Mikel Arteta,1.75,Spain
Gervinho,1.79,Ivory Coast
Papiss Demba Cissé,1.83,Senegal
Bryan Ruíz,1.87,Costa Rica
Abel Hernández,1.85,Uruguay
Emre Can,1.84,Germany
Chancel Mbemba,1.82,DR Congo
Jordan Ayew,1.82,Ghana
Manuel Lanzini,1.67,Argentina
Robert Snodgrass,1.8288,Scotland
Willy Boly,1.95,France
Pedro Porro,1.76,Spain
Angeliño,1.72,Spain
Marvelous Nakamba,1.78,Zimbabwe
Aleksandr Bukharov,1.93,Russia
Aiden McGeady,1.8,Republic of Ireland
Yann M'Vila,1.82,France
Lassana Diarra,1.73,France
Pedro Rocha,1.83,Uruguay
Sardar Azmoun,1.86,Iran
Douglas Santos,1.73,Brazil
Rémy Cabella,1.71,France
Alex Kral,1.86,Czech Republic
Marc-André ter Stegen,1.87,Germany
Mikel Merino,1.88,Spain
Jeison Murillo,1.82,Colombia
Thierry Correia,1.79,Portugal
Jorge Martínez,,
Adem Ljajic,1.82,Serbia
Mattia De Sciglio,1.82,Italy
Roberto Inglese,1.87,
Mattia Perin,1.88,Italy
Kévin Malcuit,1.8,
Ionut Radu,1.88,Romania
Andrea Petagna,1.88,Italy
Bas Dost,1.96,Netherlands
Wahbi Khazri,1.82,Tunisia
Jeff Hendrick,1.85,Republic of Ireland
Wilfried Zaha,1.8,Ivory Coast
James Tomkins,1.92,Great Britain
Jeffrey Bruma,1.89,Netherlands
Landry Dimata,1.85,Belgium
Thiago Motta,1.87,Italy
Victor Moses,1.77,Nigeria
Fabian Delph,1.74,England
Jake Livermore,1.81,England
Asmir Begovic,1.98,Bosnia and Herzegovina
Allan,1.8288,England
Jeremain Lens,1.78,Netherlands
Josh Murphy,1.73,England
Bobby Reid,1.7018,Jamaica
Per Mertesacker,1.98,Germany
Peter Crouch,2.0066,England
James Chester,1.8,Wales
Jacob Murphy,1.76,England
David Brooks,1.7271999999999998,Wales
Angus Gunn,1.96,England
Lys Mousset,1.84,France
Anatoliy Tymoshchuk,1.81,Ukraine
José Manuel Jurado,1.76,Spain
Gonzalo Castro,1.72,Germany
Andrej Kramaric,1.77,Croatia
Hakim Ziyech,1.81,Morocco
Eduardo Salvio,1.72,Argentina
Héctor Herrera,1.85,Mexico
Adrián López,1.83,Spain
Ismaël Bangoura,,Guinea
Jemerson,1.84,Brazil
Kamil Glik,1.9,Poland
Martin Terrier,1.84,France
Fodé Ballo-Touré,1.77,France
Étienne Capoue,1.89,France
Graziano Pellè,1.94,Italy
Shinji Okazaki,1.75,Japan
Jordan Amavi,1.76,France
Timm Klose,1.93,Switzerland Olympic
Steven Naismith,1.78,Scotland
Georges-Kevin N'Koudou,1.74,France
Jack Clarke,1.81,England
Jérémy Toulalan,1.83,France
Guilherme Arana,1.76,Brazil
Santiago Arias,1.78,Colombia
Luca Cigarini,1.75,Italy Olympic Team
Sebastian Giovinco,1.6,Italy
Fredy Guarín,1.83,Colombia
Gianluca Lapadula,1.78,Italy B
Manuel Lazzari,1.74,Italy
Léo Duarte,1.86,
Charles N'Zogbia,1.71,France
Iago Aspas,1.76,Galicia
Steven Caulker,1.905,England
Yoshinori Muto,1.79,Japan
Cheikhou Kouyaté,1.89,Senegal
Simon Mignolet,1.93,Belgium
Abdoulaye Doucouré,1.84,France
Adalberto Peñaranda,1.85,Venezuela
Obafemi Martins,1.7,Nigeria
Johannes Geis,1.81,Germany
Suat Serdar,1.83,Germany
Wout Weghorst,,
Jesús Corona,1.74,Mexico
Luiz Araújo,1.75,
Ricardo Álvarez,,
Patrick van Aanholt,1.77,Netherlands
Mário Fernandes,1.87,Russia
