,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500,0.75,6.986,7,0.167135526,0,0.01,1.629,0.247,1085.7,16.906,12.432,0.842,0.9,0.831,27.057,6.891
1,1500,0.75,6.986,7,0.167135526,0,0.04,3.754,0.511,1067.4,18.473,12.345,0.68,0.9,0.7,26.68,3.952
2,1500,0.75,6.986,7,0.167135526,0,0.08,4.531,0.293,1081,15.453,11.795,0.51,1.1,0.831,24.047,3.814
3,1500,0.75,6.986,7,0.167135526,0,0.1,5.13,0.583,1088.9,25.181,12.292,0.84,1.1,0.7,33.528,6.344
4,1500,0.75,6.986,7,0.167135526,0,0.15,5.926,0.49,1085.3,11.428,12.471,0.671,1.2,1.4,31.103,5.828
5,1500,0.75,6.986,7,0.167135526,0,0.2,6.629,0.82,1073.4,19.012,12.39,0.846,0.7,0.9,30.425,7.015
6,1500,0.75,6.986,7,0.167135526,0,0.25,7.286,1.017,1076.5,24.622,12.845,1.316,1.2,1.077,29.35,7.965
7,1500,0.75,6.986,7,0.167135526,0,0.3,7.341,0.589,1079.9,17.986,12.283,0.524,0.4,0.663,29.421,5.586
8,1500,0.75,6.986,7,0.167135526,0,0.35,7.305,0.488,1077.6,20.616,11.913,0.697,0.9,0.831,25.863,5.674
9,1500,0.75,6.986,7,0.167135526,0,0.4,8.213,0.689,1081.3,13.394,12.522,0.867,0.8,0.98,30.533,7.573
10,1500,0.75,7.034,7,0.164361271,0.1,0.01,1.537,0.427,1047,22.131,13.286,0.71,2.2,0.872,33.031,7.695
11,1500,0.75,7.034,7,0.164361271,0.1,0.04,3.134,0.317,1057.6,17.789,12.233,0.627,2.7,1.418,28.128,3.907
12,1500,0.75,7.034,7,0.164361271,0.1,0.08,4.819,0.664,1066,15.862,12.611,0.806,1.4,1.02,26.56,4.68
13,1500,0.75,7.034,7,0.164361271,0.1,0.1,5.562,0.426,1056.9,7.516,13.23,0.731,1.9,2.625,29.561,4.708
14,1500,0.75,7.034,7,0.164361271,0.1,0.15,5.818,0.434,1055.8,22.203,12.743,0.675,1.6,1.114,34.452,6.594
15,1500,0.75,7.034,7,0.164361271,0.1,0.2,6.213,0.513,1060.2,20.267,12.407,0.451,1.6,1.497,28.672,5.086
16,1500,0.75,7.034,7,0.164361271,0.1,0.25,6.649,0.489,1064,21.596,12.633,0.557,2.3,1.676,28.045,3.95
17,1500,0.75,7.034,7,0.164361271,0.1,0.3,6.942,0.509,1064,26.844,12.022,0.794,1.5,1.432,29.662,9.231
18,1500,0.75,7.034,7,0.164361271,0.1,0.35,7.473,0.462,1055.5,17.454,12.164,0.468,2.4,1.356,33.061,9.644
19,1500,0.75,7.034,7,0.164361271,0.1,0.4,8.005,0.457,1063.2,21.028,12.831,0.717,2,1.095,31.049,7.316
20,1500,0.75,6.961,7,0.168224463,0.2,0.01,1.711,0.521,1002.4,17.368,15.39,1.024,5.3,2.532,37.579,3.316
21,1500,0.75,6.961,7,0.168224463,0.2,0.04,3.991,0.488,999.4,21.238,14.607,0.738,4.7,1.847,33.234,3.631
22,1500,0.75,6.961,7,0.168224463,0.2,0.08,5.06,0.699,1015.1,28.084,13.988,0.995,4.4,2.458,38.467,8.381
23,1500,0.75,6.961,7,0.168224463,0.2,0.1,5.22,0.666,1009.1,17.369,13.839,0.758,3.2,2.272,31.095,3.366
24,1500,0.75,6.961,7,0.168224463,0.2,0.15,6.286,0.509,994.2,20.074,13.868,0.788,3.7,2.452,32.875,4.716
25,1500,0.75,6.961,7,0.168224463,0.2,0.2,6.812,0.615,1000.9,28.515,13.94,0.62,4,1.342,38.078,10.392
26,1500,0.75,6.961,7,0.168224463,0.2,0.25,6.823,0.582,1023.3,21.133,13.289,0.644,4.6,2.059,30.499,4.009
27,1500,0.75,6.961,7,0.168224463,0.2,0.3,7.635,0.53,1022.4,21.731,13.498,0.691,2.9,1.513,31.831,7.244
28,1500,0.75,6.961,7,0.168224463,0.2,0.35,7.695,0.615,1019.5,21.144,13.373,1.079,4.5,2.579,33.69,5.987
29,1500,0.75,6.961,7,0.168224463,0.2,0.4,8.044,0.639,1027.6,18.538,12.838,0.982,3,1.183,33.149,6.561
30,1500,0.75,6.997,7,0.165972079,0.3,0.01,1.764,0.446,965.2,21.226,17.062,1.042,7.3,2.452,37.892,6.43
31,1500,0.75,6.997,7,0.165972079,0.3,0.04,3.652,0.513,960.8,18.313,15.39,0.992,9.7,3.226,39.491,7.446
32,1500,0.75,6.997,7,0.165972079,0.3,0.08,4.555,0.51,963.9,15.43,14.577,0.779,8.2,3.789,36.188,4.559
33,1500,0.75,6.997,7,0.165972079,0.3,0.1,5.513,0.523,973.1,24.753,14.917,0.804,8.9,3.081,37.252,5.149
34,1500,0.75,6.997,7,0.165972079,0.3,0.15,5.602,0.7,989.1,19.73,13.299,0.657,6.7,2.002,37.198,7.591
35,1500,0.75,6.997,7,0.165972079,0.3,0.2,6.561,0.669,983.5,23.779,13.855,1.019,6.5,3.263,34.781,6.734
36,1500,0.75,6.997,7,0.165972079,0.3,0.25,7.575,0.545,966.9,17.155,14.582,0.652,7.1,3.534,42.276,16.498
37,1500,0.75,6.997,7,0.165972079,0.3,0.3,7.441,0.751,992.5,24.8,13.714,0.861,6.4,2.107,37.215,5.868
38,1500,0.75,6.997,7,0.165972079,0.3,0.35,7.512,0.412,1005.7,18.553,13.3,0.618,7,3.13,34.315,7.181
39,1500,0.75,6.997,7,0.165972079,0.3,0.4,7.565,0.321,998.4,10.837,12.923,0.615,6.8,2.088,35.365,6.409
40,1500,0.75,6.985,7,0.167495887,0.4,0.01,1.661,0.295,889.6,30.316,18.628,1.673,17.2,6.66,43.859,5.59
41,1500,0.75,6.985,7,0.167495887,0.4,0.04,3.691,0.425,918.3,17.635,17.184,0.805,14.4,2.8,42.116,6.464
42,1500,0.75,6.985,7,0.167495887,0.4,0.08,5.091,0.52,915.2,22.551,16.428,0.798,13.6,3.412,44.742,4.903
43,1500,0.75,6.985,7,0.167495887,0.4,0.1,5.476,0.502,922.7,28.608,15.899,0.916,15.2,5.528,40.431,8.262
44,1500,0.75,6.985,7,0.167495887,0.4,0.15,6.142,0.405,921,20.828,15.529,1.116,14.2,3.059,38.054,7.886
