,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500,0.3,5.206,10,0.311892584,0,0.01,1.965,0.443,895.2,22.498,19.922,1.649,8.3,3.068,51.264,9.952
1,1500,0.3,5.206,10,0.311892584,0,0.04,5.161,1.07,872,28.475,20.289,2.333,7.4,4.079,45.705,4.131
2,1500,0.3,5.206,10,0.311892584,0,0.08,7.593,1.414,882.6,35.78,20.694,1.423,8.1,4.061,44.257,4.553
3,1500,0.3,5.206,10,0.311892584,0,0.1,8.033,0.921,870.1,18.892,21.112,1.119,8.4,2.059,43.76,4.367
4,1500,0.3,5.206,10,0.311892584,0,0.15,9.032,0.804,881.6,21.91,19.799,1.071,6.6,3.2,45.297,5.576
5,1500,0.3,5.206,10,0.311892584,0,0.2,10.105,0.89,891.6,26.759,19.878,1.504,8.2,3.429,45.627,8.119
6,1500,0.3,5.206,10,0.311892584,0,0.25,11.368,0.985,888.9,28.574,20.038,1.197,7.2,3.487,43.704,3.899
7,1500,0.3,5.206,10,0.311892584,0,0.3,11.835,1.131,881.9,28.272,20.107,1.43,10.8,6.997,47.111,11.103
8,1500,0.3,5.206,10,0.311892584,0,0.35,12.21,0.702,878.5,16.12,19.538,1.045,8.2,3.25,42.165,4.072
9,1500,0.3,5.206,10,0.311892584,0,0.4,12.963,0.727,880.2,23.583,19.869,1.151,8.5,4.41,47.738,7.448
10,1500,0.3,5.229,10,0.310009848,0.1,0.01,2.007,0.475,842.9,25.481,21.853,0.886,15.6,6.02,49.511,4.608
11,1500,0.3,5.229,10,0.310009848,0.1,0.04,5.303,0.937,848.1,33.312,21.894,2.095,14.2,4.6,47.095,4.87
12,1500,0.3,5.229,10,0.310009848,0.1,0.08,6.653,0.541,838.2,31.106,20.679,0.648,12.3,4.051,51.979,7.898
13,1500,0.3,5.229,10,0.310009848,0.1,0.1,7.78,1.232,841.9,27.544,20.904,1.535,13.2,3.027,52.447,10.457
14,1500,0.3,5.229,10,0.310009848,0.1,0.15,9.346,0.96,831.5,44.849,21.594,1.614,16.1,7.609,50.598,10.903
15,1500,0.3,5.229,10,0.310009848,0.1,0.2,9.775,0.763,846.6,17.083,19.926,1.408,12.7,5.934,44.543,6.853
16,1500,0.3,5.229,10,0.310009848,0.1,0.25,10.764,0.758,842.5,30.067,20.673,1.32,14.4,7.324,46.384,5.397
