,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.01,1.723,0.333,977.2,20.434,16.672,1.422,5.0,2.191,39.425,5.913
1,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.04,4.409,0.644,981.1,24.704,16.182,0.897,4.1,2.737,35.693,9.76
2,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.08,5.689,0.629,973.6,19.704,15.645,1.07,4.5,1.36,37.043,2.986
3,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.1,6.601,0.924,984.6,28.751,16.349,0.985,3.6,2.059,36.617,4.182
4,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.15,7.335,0.833,975.4,20.392,15.973,1.459,3.0,2.236,34.538,4.477
5,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.2,8.466,0.708,977.5,15.552,16.313,0.972,3.0,1.732,35.534,4.286
6,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.25,9.342,0.839,983.4,24.221,16.611,0.82,2.8,2.227,30.782,3.43
7,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.3,9.601,0.69,986.2,28.181,16.157,0.818,2.5,2.46,32.835,4.182
8,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.35,10.089,0.682,975.8,15.039,16.253,0.828,4.7,2.238,34.567,5.243
9,1500.0,0.45,5.821,8.0,0.24907172362142388,0.0,0.4,10.513,0.978,981.7,19.89,15.812,1.18,4.5,1.204,37.858,3.812
10,1500.0,0.45,5.777,8.0,0.25130375887547424,0.1,0.01,1.968,0.581,923.9,36.705,17.936,1.388,6.9,3.646,46.754,11.766
11,1500.0,0.45,5.777,8.0,0.25130375887547424,0.1,0.04,4.415,0.548,916.9,21.38,17.955,0.963,7.6,2.653,42.0,6.371
12,1500.0,0.45,5.777,8.0,0.25130375887547424,0.1,0.08,6.35,0.814,942.3,19.35,17.74,1.241,7.8,3.458,41.251,3.482
13,1500.0,0.45,5.777,8.0,0.25130375887547424,0.1,0.1,6.959,0.528,925.7,28.969,17.62,1.07,8.6,3.611,40.497,8.223
