,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.01,1.847,0.398,994.7,20.15,15.447,0.97,3.4,2.691,34.619,6.141
1,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.04,3.813,0.447,1019.2,15.354,14.655,0.863,2.3,1.345,34.37,5.945
2,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.08,6.013,0.894,1005.8,18.68,15.517,1.078,2.5,1.36,33.11,5.289
3,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.1,6.419,0.511,1007.5,15.711,14.982,0.768,2.1,1.221,33.428,7.858
4,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.15,6.989,0.662,998.8,19.125,14.952,0.909,3.0,1.673,34.716,5.379
5,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.2,8.078,0.848,1007.1,9.772,15.359,1.064,3.3,1.9,35.18,5.616
6,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.25,8.924,0.73,1020.8,10.731,15.281,0.82,3.0,1.414,38.057,7.271
7,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.3,9.081,0.822,1011.8,14.573,15.332,0.931,2.3,1.676,36.565,6.279
8,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.35,9.421,0.799,1014.8,17.921,14.883,0.723,3.2,1.939,35.119,2.68
9,1500.0,0.5,6.088,8.0,0.22821919759878403,0.0,0.4,10.263,1.233,1012.4,27.156,15.328,1.418,2.8,2.522,37.311,8.061
10,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.01,1.681,0.533,945.0,14.629,17.162,1.13,6.1,2.119,40.806,4.896
11,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.04,4.219,0.632,943.7,24.133,16.176,1.041,7.9,3.859,41.581,8.291
12,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.08,6.001,0.777,954.6,16.59,16.264,0.994,6.0,2.366,38.721,9.298
13,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.1,6.523,0.825,950.1,18.019,16.643,1.101,6.5,3.981,41.205,7.52
14,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.15,8.024,0.932,958.6,23.178,17.201,1.326,6.5,2.655,41.627,5.958
15,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.2,8.486,0.63,948.1,16.837,16.451,0.622,5.5,2.062,39.894,8.489
16,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.25,9.312,0.892,978.0,32.206,16.329,1.165,6.3,3.796,37.624,6.229
17,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.3,9.492,0.875,962.1,21.547,16.272,1.225,5.1,2.982,34.354,3.924
18,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.35,9.901,0.775,968.2,30.439,16.115,1.175,5.0,2.408,38.265,10.119
19,1500.0,0.5,6.003,8.0,0.23506065130481416,0.1,0.4,10.93,1.077,958.9,25.454,16.542,1.038,5.8,2.713,36.066,3.918
20,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.01,1.62,0.276,909.0,28.358,19.312,1.321,10.9,4.784,43.281,7.408
21,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.04,4.462,0.841,906.1,33.083,17.875,1.742,11.2,4.19,43.949,9.098
22,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.08,5.543,0.716,919.1,27.083,16.871,1.443,10.4,3.747,42.847,9.699
23,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.1,6.367,0.522,935.9,25.28,17.256,0.867,9.8,2.135,43.176,9.938
24,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.15,7.446,0.682,927.2,35.244,16.865,1.432,8.9,4.679,38.858,4.108
25,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.2,8.018,0.577,930.2,19.994,16.348,0.639,9.6,2.538,38.848,7.55
26,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.25,8.683,0.661,918.4,17.275,16.501,1.262,10.5,3.384,38.66,4.583
27,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.3,8.811,0.809,945.0,26.15,15.739,1.173,8.1,3.27,37.602,6.573
28,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.35,9.97,0.71,934.9,22.757,16.582,0.856,8.9,2.427,39.12,5.801
29,1500.0,0.5,6.025,8.0,0.23233266622192592,0.2,0.4,9.911,0.944,933.9,23.535,16.238,1.159,10.8,3.628,40.583,7.885
30,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.01,1.906,0.551,853.2,22.498,21.13,1.452,17.5,4.588,50.191,7.659
31,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.04,4.037,0.499,840.9,27.274,19.173,1.173,20.6,5.903,48.741,8.507
32,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.08,5.632,1.249,861.0,24.548,19.197,1.823,14.4,4.944,47.098,6.686
33,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.1,6.161,0.398,869.9,17.57,18.17,0.998,17.5,3.5,44.005,4.364
34,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.15,7.088,0.713,882.1,18.463,17.313,0.711,15.8,7.111,44.713,6.187
35,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.2,7.666,0.743,879.2,25.047,16.815,0.72,14.1,4.949,40.299,4.538
36,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.25,8.14,0.542,891.7,10.374,16.068,0.954,16.8,8.704,43.892,5.229
37,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.3,9.48,0.802,899.9,23.797,17.154,1.187,13.7,2.759,43.692,7.402
38,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.35,10.147,0.967,898.7,31.103,16.682,0.982,13.8,5.075,40.914,4.637
39,1500.0,0.5,6.017,8.0,0.23129970244713446,0.3,0.4,10.366,0.894,915.9,23.223,16.503,1.47,14.3,5.405,41.58,9.261
40,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.01,1.948,0.403,766.2,31.635,25.833,2.374,41.4,6.119,55.483,5.997
41,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.04,4.519,0.733,789.3,39.83,21.781,0.78,34.9,7.368,53.253,4.612
42,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.08,5.645,0.615,792.0,25.464,20.213,0.945,36.4,9.222,60.876,7.505
43,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.1,6.857,0.845,786.3,28.716,20.051,1.783,35.5,7.284,51.375,6.749
44,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.15,7.604,0.931,786.0,32.787,19.674,1.344,29.5,9.646,54.188,10.773
45,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.2,8.377,1.132,813.5,22.464,18.684,1.554,30.9,12.218,50.013,8.334
46,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.25,9.079,0.678,827.3,20.785,18.109,1.101,26.3,5.292,46.978,4.355
47,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.3,9.573,1.25,848.4,16.536,17.649,1.645,30.1,7.943,48.034,7.08
48,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.35,10.238,0.754,845.0,29.107,17.701,0.956,31.8,8.612,48.516,5.486
49,1500.0,0.5,5.933,8.0,0.23928636406955328,0.4,0.4,10.485,0.809,858.4,26.893,16.608,0.891,27.3,8.149,49.094,6.264
50,1500.0,0.5,5.981,8.0,0.23406821478869533,0.5,0.01,1.604,0.45,673.0,41.716,29.292,2.91,79.6,19.2,66.818,8.423
51,1500.0,0.5,5.981,8.0,0.23406821478869533,0.5,0.04,4.559,0.702,684.8,25.206,25.554,1.792,69.3,13.335,63.721,7.153
52,1500.0,0.5,5.981,8.0,0.23406821478869533,0.5,0.08,6.28,0.71,715.7,23.199,22.467,2.077,70.3,10.602,59.447,7.939
53,1500.0,0.5,5.981,8.0,0.23406821478869533,0.5,0.1,6.385,0.689,714.2,27.066,21.194,0.826,67.9,15.77,57.333,6.234
