,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500,0.35,5.444,9,0.286154262,0,0.01,1.778,0.315,916.8,27.396,18.933,1.708,4.8,2.676,41.176,5.761
1,1500,0.35,5.444,9,0.286154262,0,0.04,4.488,0.822,928.6,31.85,17.821,1.233,6.7,3.551,41.375,7.21
2,1500,0.35,5.444,9,0.286154262,0,0.08,6.294,0.938,920.5,30.813,17.892,1.943,8.7,6.017,42.453,9.023
3,1500,0.35,5.444,9,0.286154262,0,0.1,6.948,1.027,935.8,28.882,17.88,1.381,4.4,1.744,35.337,5.034
4,1500,0.35,5.444,9,0.286154262,0,0.15,8.377,1,927.2,32.634,18.289,1.574,5.4,1.908,40.783,4.187
5,1500,0.35,5.444,9,0.286154262,0,0.2,9.257,0.972,930.5,19.19,18.158,0.83,5.8,4.578,42.622,8.46
6,1500,0.35,5.444,9,0.286154262,0,0.25,10.135,0.64,924.3,19.754,18.036,1.201,4.6,2.059,39.313,3.433
7,1500,0.35,5.444,9,0.286154262,0,0.3,10.977,0.972,922,21.443,18.501,1.045,8.5,3.263,42.356,7.294
8,1500,0.35,5.444,9,0.286154262,0,0.35,11.137,0.59,928.4,30.65,18.031,0.92,6.4,3.007,42.958,12.172
9,1500,0.35,5.444,9,0.286154262,0,0.4,11.861,0.639,923.6,23.239,18.419,1.074,4.9,1.814,39.816,6.281
10,1500,0.35,5.388,9,0.291594396,0.1,0.01,1.867,0.451,869,18.412,20.873,1.391,10.6,4.294,44.532,4.145
11,1500,0.35,5.388,9,0.291594396,0.1,0.04,5.262,1.135,875,38.603,20.117,1.461,10.6,2.835,50.771,9.132
12,1500,0.35,5.388,9,0.291594396,0.1,0.08,6.654,0.849,880.1,33.438,19.446,1.57,10.9,5.049,44.773,7.357
13,1500,0.35,5.388,9,0.291594396,0.1,0.1,7.539,1.001,883.2,34.143,19.806,1.217,8.4,3.639,48.937,6.637
14,1500,0.35,5.388,9,0.291594396,0.1,0.15,8.989,1.044,873.9,18.907,19.552,1.54,12.7,5.763,44.903,9.428
15,1500,0.35,5.388,9,0.291594396,0.1,0.2,9.659,0.989,868.7,21.559,19.508,1.381,12.3,2.61,46.887,8.225
16,1500,0.35,5.388,9,0.291594396,0.1,0.25,10.787,1.069,874.3,17.118,19.696,1.258,10.8,2.441,44.166,5.6
17,1500,0.35,5.388,9,0.291594396,0.1,0.3,11.63,0.802,879.4,26.647,19.313,0.636,9.1,4.805,43.611,5.72
18,1500,0.35,5.388,9,0.291594396,0.1,0.35,11.713,1.257,887,22.641,18.941,0.964,11.6,4.055,44.474,6.575
19,1500,0.35,5.388,9,0.291594396,0.1,0.4,12.083,0.572,903.7,23.217,19.14,0.795,8.9,2.809,43.56,5.561
