,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.01,1.84,0.418,1013.2,22.529,15.359,1.18,2.7,1.552,31.816,4.647
1,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.04,4.06,0.438,1020.6,24.889,15.016,0.978,2.1,1.221,34.15,7.675
2,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.08,5.576,0.818,1006.9,18.587,14.601,1.167,3.3,2.61,30.017,3.016
3,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.1,6.469,0.868,1019.7,17.967,14.95,1.252,2.2,2.315,32.319,6.447
4,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.15,7.102,0.668,1012.5,21.491,14.818,1.041,2.1,1.578,34.136,6.742
5,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.2,7.408,0.851,1021.6,30.203,14.272,0.833,4.1,2.844,33.264,6.748
6,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.25,8.436,0.575,1019.3,30.259,14.821,0.86,2.9,2.468,30.505,2.077
7,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.3,8.323,0.534,1014.0,25.511,13.876,0.729,2.8,1.661,30.842,2.96
8,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.35,8.886,0.753,1013.3,23.255,14.227,1.102,3.2,1.661,36.254,7.226
9,1500.0,0.55,6.184,7.0,0.22256553764225592,0.0,0.4,10.12,0.706,1005.6,23.733,14.627,0.793,2.3,1.487,35.008,6.495
10,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.01,1.844,0.443,987.7,17.338,16.059,1.03,4.1,2.385,40.238,10.999
11,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.04,4.362,0.616,988.2,19.281,15.788,1.259,5.8,3.816,34.793,5.103
12,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.08,6.021,0.396,991.7,24.775,15.833,0.683,3.2,1.887,35.692,4.405
13,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.1,6.395,0.732,990.9,24.631,15.599,0.8,3.6,1.625,34.304,3.668
14,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.15,7.115,0.738,997.2,30.225,15.43,0.991,4.2,1.887,36.084,11.218
15,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.2,8.042,0.891,987.3,31.394,15.202,1.145,5.2,3.25,33.391,3.743
16,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.25,8.636,0.584,977.8,20.089,15.689,0.839,4.5,1.91,40.63,5.073
17,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.3,9.082,0.602,991.4,20.646,15.302,0.759,4.1,2.071,38.443,9.68
18,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.35,8.763,0.315,1009.2,25.047,14.654,0.715,5.0,3.066,33.056,4.565
19,1500.0,0.55,6.245,8.0,0.21502266542293214,0.1,0.4,9.694,0.758,996.1,17.672,14.78,1.152,4.7,3.1,34.209,5.938
20,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.01,1.73,0.311,951.0,25.888,17.056,1.137,5.5,2.46,39.803,4.093
21,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.04,4.212,0.643,929.5,27.594,17.052,1.039,10.1,3.91,41.7,7.077
22,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.08,5.822,0.683,921.1,19.756,16.74,1.111,8.8,4.238,43.061,7.752
23,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.1,5.974,0.474,939.5,17.94,16.312,0.786,10.0,2.72,40.117,5.983
24,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.15,6.944,0.925,948.7,27.576,15.737,1.201,9.1,3.727,41.005,7.569
25,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.2,7.666,0.527,942.9,12.177,16.154,0.912,8.1,3.885,40.024,6.201
26,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.25,8.355,0.622,943.0,32.128,15.783,1.192,8.6,3.072,40.696,5.535
27,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.3,8.864,0.588,951.0,27.357,15.416,0.661,8.0,2.793,39.837,9.591
28,1500.0,0.55,6.237,8.0,0.21478084957070992,0.2,0.35,9.049,0.406,979.5,26.375,14.89,0.555,7.2,4.915,37.709,4.644
