,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500,0.7,6.809,7,0.177983868,0,0.01,1.529,0.237,1058.3,24.892,13.055,0.561,1.6,1.114,26.503,3.712
1,1500,0.7,6.809,7,0.177983868,0,0.04,3.553,0.725,1064.4,26.231,12.766,1.082,1.3,1.487,28.219,4.448
2,1500,0.7,6.809,7,0.177983868,0,0.08,4.844,0.57,1068.4,26.511,12.6,0.902,1,0.894,29.009,6.937
3,1500,0.7,6.809,7,0.177983868,0,0.1,5.164,0.364,1064.9,18.992,12.511,0.651,0.4,0.49,31.451,9.124
4,1500,0.7,6.809,7,0.177983868,0,0.15,5.856,0.54,1061,19.037,12.637,0.524,1.9,1.221,25.444,3.794
5,1500,0.7,6.809,7,0.177983868,0,0.2,6.602,0.552,1063.2,18.242,12.72,0.536,1.6,1.497,28.37,4.987
6,1500,0.7,6.809,7,0.177983868,0,0.25,6.752,0.427,1057.3,18.216,12.519,0.815,0.9,1.044,27.936,5.931
7,1500,0.7,6.809,7,0.177983868,0,0.3,7.544,0.657,1074.1,12.421,12.388,1.058,1.2,1.166,28.356,6.411
8,1500,0.7,6.809,7,0.177983868,0,0.35,7.551,0.566,1070.2,14.267,12.398,0.839,1,1.183,26.274,2.835
9,1500,0.7,6.809,7,0.177983868,0,0.4,7.972,0.394,1060.9,23.394,12.459,0.677,1.4,1.356,27.937,4.265
10,1500,0.7,6.821,7,0.178003421,0.1,0.01,1.694,0.362,1022.4,24.434,14.232,0.871,3.1,1.64,29.941,4.862
11,1500,0.7,6.821,7,0.178003421,0.1,0.04,4.013,0.381,1039.8,19.778,13.854,0.721,1.8,1.249,32.39,4.843
12,1500,0.7,6.821,7,0.178003421,0.1,0.08,4.936,0.363,1038.4,14.644,13.233,0.705,3.2,1.536,29.859,2.72
13,1500,0.7,6.821,7,0.178003421,0.1,0.1,5.459,0.716,1039.5,23.783,13.499,1.003,1.7,1.418,32.58,5.354
14,1500,0.7,6.821,7,0.178003421,0.1,0.15,5.882,0.674,1040.8,12.663,12.913,0.788,3.1,1.921,32.739,8.367
15,1500,0.7,6.821,7,0.178003421,0.1,0.2,6.504,0.417,1043.3,29.176,12.963,0.454,2.7,1.487,31.874,4.324
16,1500,0.7,6.821,7,0.178003421,0.1,0.25,6.959,0.565,1047.1,20.122,12.647,0.662,2.7,1.616,34.404,5.501
17,1500,0.7,6.821,7,0.178003421,0.1,0.3,7.354,0.532,1043.5,24.208,12.806,0.541,2.7,1.487,28.93,4.896
18,1500,0.7,6.821,7,0.178003421,0.1,0.35,7.785,0.534,1060.2,20.498,12.88,0.569,1.9,1.044,28.413,5.504
19,1500,0.7,6.821,7,0.178003421,0.1,0.4,7.873,0.612,1040.4,16.026,12.592,0.967,2.7,1.616,31.505,6.487
20,1500,0.7,6.794,7,0.177652875,0.2,0.01,1.8,0.445,992.4,21.992,16.253,1.082,4.8,2.182,39.957,6.376
21,1500,0.7,6.794,7,0.177652875,0.2,0.04,3.766,0.519,992,22.534,14.667,0.896,5.6,2.8,36.746,8.647
22,1500,0.7,6.794,7,0.177652875,0.2,0.08,4.972,0.532,994.3,18.735,14.155,0.504,6.9,3.36,36.592,7.629
23,1500,0.7,6.794,7,0.177652875,0.2,0.1,5.814,0.672,993.1,21.482,14.764,0.702,5.6,2.615,37.118,3.765
24,1500,0.7,6.794,7,0.177652875,0.2,0.15,6.464,0.935,985.1,31.005,14.357,1.358,4.5,2.872,40.888,8.336
25,1500,0.7,6.794,7,0.177652875,0.2,0.2,6.598,0.876,1006.4,28.79,13.725,1.227,6.3,1.616,37.037,8.128
26,1500,0.7,6.794,7,0.177652875,0.2,0.25,7.399,0.623,1003,12.198,14.019,1.125,4.8,3.059,33.153,5.021
27,1500,0.7,6.794,7,0.177652875,0.2,0.3,8.121,0.551,1006.6,12.698,14.119,0.76,5.1,2.256,32.336,1.579
28,1500,0.7,6.794,7,0.177652875,0.2,0.35,7.985,1.049,1019.6,29.275,13.305,1.273,4.9,1.972,35.629,5.235
29,1500,0.7,6.794,7,0.177652875,0.2,0.4,9.343,0.566,999,22.392,14.464,0.667,6.1,2.809,34.173,7.801
30,1500,0.7,6.793,7,0.177236339,0.3,0.01,1.507,0.345,932.7,22.883,17.055,0.793,11.7,3.716,41.114,6.667
31,1500,0.7,6.793,7,0.177236339,0.3,0.04,3.962,0.892,940.1,32.281,16.187,1.04,9.9,4.527,40.101,6.871
32,1500,0.7,6.793,7,0.177236339,0.3,0.08,4.842,0.601,936,24.613,14.908,0.867,9.7,3.257,37.206,4.928
33,1500,0.7,6.793,7,0.177236339,0.3,0.1,5.757,0.724,961.6,24.699,15.32,0.628,8.1,2.737,41.321,9.272
34,1500,0.7,6.793,7,0.177236339,0.3,0.15,6.085,0.356,949.6,20.269,14.834,0.899,10.8,4.707,35.219,3.602
35,1500,0.7,6.793,7,0.177236339,0.3,0.2,7.012,0.449,961.6,28.5,15.09,0.962,7.7,3.068,42.905,9.75
36,1500,0.7,6.793,7,0.177236339,0.3,0.25,6.788,0.288,969.7,16.31,13.636,0.72,10.5,4.105,38.077,6.008
37,1500,0.7,6.793,7,0.177236339,0.3,0.3,7.699,0.682,981.2,16.606,13.935,0.829,9.4,4.565,33.614,4.259
38,1500,0.7,6.793,7,0.177236339,0.3,0.35,8.143,0.363,973.9,18.812,13.773,0.57,9.9,2.914,36.398,2.52
39,1500,0.7,6.793,7,0.177236339,0.3,0.4,8.304,0.655,985.7,18.81,13.766,0.774,7,3.033,37.247,6.398
40,1500,0.7,6.826,7,0.175134938,0.4,0.01,1.628,0.312,889.5,26.994,19.361,1.436,17.4,4.128,41.354,4.828
41,1500,0.7,6.826,7,0.175134938,0.4,0.04,3.329,0.738,886.8,20.856,17.32,1.373,18.5,4.5,42.215,4.262
42,1500,0.7,6.826,7,0.175134938,0.4,0.08,4.662,0.498,880.1,20.147,16.133,0.461,17.1,4.3,47.688,12.346
43,1500,0.7,6.826,7,0.175134938,0.4,0.1,5.003,0.496,886.2,23.344,15.959,0.864,15.2,3.945,41.758,6.81
44,1500,0.7,6.826,7,0.175134938,0.4,0.15,5.702,0.474,922.3,21.331,15.635,1.299,15.4,5.571,41.443,5.326
45,1500,0.7,6.826,7,0.175134938,0.4,0.2,6.527,0.457,930.6,29.733,14.692,0.939,13.4,4.454,42.574,6.008
46,1500,0.7,6.826,7,0.175134938,0.4,0.25,6.695,0.53,935.8,15.012,14.497,1.197,13.7,4.001,37.643,7.257
47,1500,0.7,6.826,7,0.175134938,0.4,0.3,7.216,0.482,946.4,28.983,14.181,0.688,12.4,3.353,37.044,4.916
48,1500,0.7,6.826,7,0.175134938,0.4,0.35,7.58,0.74,948.2,22.507,13.644,1.375,10.6,3.693,39.214,6.16
49,1500,0.7,6.826,7,0.175134938,0.4,0.4,8.059,0.99,965,21.033,13.556,1.221,12.4,3.47,39.641,7.356
0,1500,0.7,6.783,7,0.180076139,0.5,0.01,1.636,0.216,769.8,28.666,23.942,2.534,35.6,5.817,55.431,6.965
1,1500,0.7,6.783,7,0.180076139,0.5,0.04,3.7,0.408,809.3,26.154,19.405,0.801,33.8,8.424,55.563,7.446
2,1500,0.7,6.783,7,0.180076139,0.5,0.08,5.333,0.593,811.5,12.532,18.959,1.121,28.5,8.176,47.56,8.684
3,1500,0.7,6.783,7,0.180076139,0.5,0.1,5.384,0.627,820.6,29.79,17.667,0.731,35.3,9.1,49.744,6.603
4,1500,0.7,6.783,7,0.180076139,0.5,0.15,5.949,0.667,845,18.177,16.283,1.334,29.1,6.457,49.058,8.744
5,1500,0.7,6.783,7,0.180076139,0.5,0.2,6.853,1.144,842.2,23.426,16.353,1.049,31.1,9.586,48.044,9.52
6,1500,0.7,6.783,7,0.180076139,0.5,0.25,7.276,0.53,872.7,31.956,15.484,0.614,31.7,8.038,41.881,4.496
7,1500,0.7,6.783,7,0.180076139,0.5,0.3,7.576,0.621,888.2,22.149,14.916,1.05,25.7,6.23,45.918,8.176
8,1500,0.7,6.783,7,0.180076139,0.5,0.35,8.086,0.591,882.3,29.148,14.43,1.107,25.7,7.76,46.841,6.503
9,1500,0.7,6.783,7,0.180076139,0.5,0.4,8.199,0.605,921,20.933,14.343,0.555,25,8.331,42.096,5.389
10,1500,0.7,6.819,7,0.176116112,0.6,0.01,1.553,0.331,684.2,21.212,27.314,1.5,77.3,14.043,64.481,9.147
11,1500,0.7,6.819,7,0.176116112,0.6,0.04,3.799,0.579,703.1,44.171,22.608,1.311,78.3,19.069,60.819,7.163
12,1500,0.7,6.819,7,0.176116112,0.6,0.08,4.721,0.817,732.2,31.796,20.355,1.033,68.7,9.1,58.604,7.334
13,1500,0.7,6.819,7,0.176116112,0.6,0.1,5.375,0.576,736.3,20.929,18.896,0.829,65.9,12.202,58.264,6.21
14,1500,0.7,6.819,7,0.176116112,0.6,0.15,6.173,0.586,743.4,29.186,18.522,1.251,69.1,11.819,53.89,7.65
15,1500,0.7,6.819,7,0.176116112,0.6,0.2,6.572,0.428,776.8,21.572,16.65,0.824,61.8,11.548,49.435,4.643
16,1500,0.7,6.819,7,0.176116112,0.6,0.25,7.492,0.807,790.5,27.068,16.567,2.055,55.2,11.539,50.862,4.751
17,1500,0.7,6.819,7,0.176116112,0.6,0.3,7.865,0.716,793.7,27.914,15.794,1.124,59.1,12.763,48.774,8.205
18,1500,0.7,6.819,7,0.176116112,0.6,0.35,7.88,0.796,839.4,18.227,14.855,1.174,46.8,9.673,51.953,8.73
19,1500,0.7,6.819,7,0.176116112,0.6,0.4,8.233,0.667,848.9,36.035,14.436,1.368,44,7.912,49.461,9.59
20,1500,0.7,6.799,7,0.178150802,0.7,0.01,1.672,0.37,486.5,31.456,39.558,6.434,194.4,23.568,89.502,15.959
21,1500,0.7,6.799,7,0.178150802,0.7,0.04,3.999,0.545,521.1,11.193,26.837,1.789,187.9,29.245,78.996,11.249
22,1500,0.7,6.799,7,0.178150802,0.7,0.08,5.019,0.324,583.5,17.264,22.442,1.552,161.3,20.02,66.425,9.963
23,1500,0.7,6.799,7,0.178150802,0.7,0.1,5.108,0.822,609.8,25.155,22.103,1.207,156,17.68,65.755,6.376
24,1500,0.7,6.799,7,0.178150802,0.7,0.15,6.379,0.408,640.5,26.101,18.947,1.295,152.3,21.776,61.568,5.51
25,1500,0.7,6.799,7,0.178150802,0.7,0.2,7.275,0.881,671.9,26.125,18.751,1.141,134.2,22.511,55.783,4.19
26,1500,0.7,6.799,7,0.178150802,0.7,0.25,7.435,0.385,725.7,36.351,17.167,0.872,113.9,20.54,54.968,10.998
27,1500,0.7,6.799,7,0.178150802,0.7,0.3,7.93,0.46,721,33.136,16.118,1.294,119.8,9.389,53.623,6.835
28,1500,0.7,6.799,7,0.178150802,0.7,0.35,8.136,0.833,776.4,34.39,15.436,0.797,99.3,13.922,55.654,6.38
29,1500,0.7,6.799,7,0.178150802,0.7,0.4,8.245,0.934,789.4,30.784,14.311,1.209,89,8.343,55.489,8.977
30,1500,0.7,6.744,7,0.182859957,0.8,0.01,1.809,0.496,215.7,28.941,59.454,15.327,553.8,71.618,145.857,32.416
31,1500,0.7,6.744,7,0.182859957,0.8,0.04,4.074,0.4,288.7,30.516,33.371,6.147,520.9,50.141,125.331,34.626
32,1500,0.7,6.744,7,0.182859957,0.8,0.08,5.202,0.586,345.8,35.98,26.377,4.25,445.7,48.841,90.133,12.585
33,1500,0.7,6.744,7,0.182859957,0.8,0.1,5.626,0.45,396.8,28.4,21.661,2.391,433.7,28.274,96.699,8.385
34,1500,0.7,6.744,7,0.182859957,0.8,0.15,6.273,0.637,462.3,24.759,20.921,2.431,352.4,32.125,75.159,13.692
35,1500,0.7,6.744,7,0.182859957,0.8,0.2,6.993,0.668,540.3,30.203,17.247,1.164,296.2,24.322,78.183,15.237
36,1500,0.7,6.744,7,0.182859957,0.8,0.25,7.432,0.809,610.2,33.337,15.598,1.446,261.1,23.084,64.697,12.138
37,1500,0.7,6.744,7,0.182859957,0.8,0.3,7.831,0.76,633.7,19.442,15.124,1.696,237,22.869,63.465,14.111
38,1500,0.7,6.744,7,0.182859957,0.8,0.35,8.06,0.577,701.1,37.53,14.31,1.539,191.3,20.78,57.35,8.325
39,1500,0.7,6.744,7,0.182859957,0.8,0.4,8.419,0.553,737.1,28.367,14.049,0.749,170.1,14.363,60.354,11.047
40,1500,0.7,6.813,7,0.177182624,0.9,0.01,1.577,0.377,33.6,9.922,16.843,9.794,1407.9,23.076,60.563,20.243
41,1500,0.7,6.813,7,0.177182624,0.9,0.04,3.921,0.51,125.7,21.091,17.32,2.984,1169,56.43,79.044,24.574
42,1500,0.7,6.813,7,0.177182624,0.9,0.08,5.256,0.497,216.3,19.955,16.283,3.48,973.4,44.883,71.946,15.65
43,1500,0.7,6.813,7,0.177182624,0.9,0.1,5.317,0.801,259.3,22.557,14.87,2.766,885.1,43.807,83.798,38.701
44,1500,0.7,6.813,7,0.177182624,0.9,0.15,6.062,0.427,360.3,21.01,15.018,1.321,707.5,62.42,76.135,12.852
45,1500,0.7,6.813,7,0.177182624,0.9,0.2,6.753,0.699,423,23.169,13.439,1.714,629.6,38.906,70.659,19.473
46,1500,0.7,6.813,7,0.177182624,0.9,0.25,7.135,0.991,497.2,25.961,13.455,1.302,535.7,44.847,57.775,6.183
47,1500,0.7,6.813,7,0.177182624,0.9,0.3,7.234,0.351,546.1,21.389,12.374,0.921,469.4,26.314,60.831,12.387
48,1500,0.7,6.813,7,0.177182624,0.9,0.35,7.716,0.794,605.6,17.996,12.292,0.581,400.5,25.307,58.795,6.445
49,1500,0.7,6.813,7,0.177182624,0.9,0.4,8.475,0.812,676.1,27.937,12.513,1.031,331.5,38.263,52.973,9.743
