,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.01,1.528,0.401,1031.8,16.185,14.069,1.262,2.2,2.088,30.594,3.852
1,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.04,4.067,0.563,1022.0,24.133,14.321,1.008,2.2,1.077,30.69,4.627
2,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.08,5.168,0.593,1022.6,30.021,13.767,0.868,1.6,1.281,32.4,8.157
3,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.1,5.848,0.501,1031.4,24.852,13.888,0.711,2.5,1.432,30.778,6.97
4,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.15,6.627,0.675,1040.4,14.698,13.974,0.734,1.8,1.166,29.337,3.0
5,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.2,7.586,0.73,1047.0,24.236,14.09,0.979,2.6,1.356,31.093,3.161
6,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.25,7.772,0.511,1028.5,14.928,14.114,0.616,2.2,1.536,31.194,4.376
7,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.3,8.358,0.591,1030.9,17.386,14.132,0.846,1.6,1.685,30.817,4.795
8,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.35,8.76,0.774,1037.6,21.096,14.018,0.922,2.0,1.0,33.653,9.116
9,1500.0,0.6,6.348,7.0,0.20576204241981355,0.0,0.4,8.989,0.876,1039.0,21.721,13.887,0.935,2.1,1.221,29.577,4.526
10,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.01,1.748,0.298,998.8,21.972,15.137,1.082,4.7,2.41,34.294,5.509
11,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.04,4.144,0.398,1005.8,29.106,14.762,1.076,3.2,1.327,34.91,7.862
12,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.08,5.125,0.604,996.9,19.154,14.496,0.753,4.0,1.342,30.312,3.498
13,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.1,5.61,0.319,995.1,18.245,14.43,0.397,3.4,1.96,33.412,7.622
14,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.15,6.254,0.781,1000.1,25.042,13.977,0.977,4.4,2.01,34.172,5.424
15,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.2,7.317,0.513,1002.8,15.354,14.419,0.574,4.2,2.272,32.314,6.024
16,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.25,7.779,0.73,1012.0,22.477,14.254,0.914,3.9,1.972,35.338,5.117
17,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.3,7.818,0.9,1015.7,12.256,13.751,1.125,4.2,2.786,33.935,6.461
18,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.35,8.573,0.618,1006.0,26.552,14.015,0.855,3.0,1.612,34.904,5.769
19,1500.0,0.6,6.448,7.0,0.20037417922674702,0.1,0.4,9.209,0.57,1026.8,14.777,14.078,0.799,2.7,1.418,33.309,3.963
20,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.01,1.93,0.44,968.0,26.184,17.722,1.412,7.1,3.885,38.712,7.537
21,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.04,4.161,0.629,946.8,22.938,16.571,0.922,9.1,1.921,36.691,4.728
22,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.08,5.54,0.585,959.8,26.746,15.581,0.71,7.9,2.879,42.137,6.833
23,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.1,5.89,0.697,969.3,21.466,15.572,0.91,7.7,2.83,41.116,6.837
24,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.15,6.933,0.657,966.4,19.5,15.384,0.538,7.6,1.96,40.809,9.011
25,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.2,7.663,0.74,971.2,18.286,15.334,1.038,6.7,2.147,36.347,6.857
26,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.25,7.601,0.388,982.1,23.445,14.957,0.536,4.6,2.417,36.436,4.553
27,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.3,8.075,0.552,972.9,20.112,14.528,0.789,5.2,1.72,32.84,4.715
28,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.35,8.364,0.619,985.0,21.274,14.429,0.832,9.1,3.7,34.766,4.573
29,1500.0,0.6,6.418,8.0,0.20166470176476797,0.2,0.4,8.78,0.499,981.7,19.693,13.75,0.574,6.6,2.538,39.812,7.968
30,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.01,1.863,0.386,895.3,27.372,19.156,1.295,14.7,4.713,46.445,4.252
31,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.04,4.264,0.463,896.6,35.112,17.977,0.81,14.8,4.874,43.682,10.607
32,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.08,5.699,0.589,912.1,21.007,17.402,0.799,12.7,2.865,44.943,8.294
33,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.1,5.923,0.616,907.1,18.566,16.727,1.205,14.7,4.148,44.46,4.82
34,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.15,6.915,0.954,909.1,27.171,16.754,1.118,12.7,3.579,39.575,3.567
35,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.2,7.525,0.846,922.3,31.572,15.983,1.048,13.4,2.939,41.058,5.296
36,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.25,8.385,0.747,927.1,30.849,15.913,1.156,12.2,4.812,43.569,5.415
37,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.3,8.857,0.761,926.9,29.167,15.559,1.055,11.8,2.891,39.301,4.195
38,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.35,9.26,0.673,936.8,21.503,15.607,0.826,10.5,4.225,40.578,5.426
39,1500.0,0.6,6.319,8.0,0.207956434640891,0.3,0.4,9.567,0.851,947.2,15.606,15.11,1.089,11.1,3.78,38.506,5.895
40,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.01,1.76,0.536,839.3,22.904,21.766,2.014,27.8,9.009,55.801,9.373
41,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.04,3.577,0.531,852.5,20.21,18.571,1.101,26.8,7.769,45.029,9.346
42,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.08,4.863,0.564,853.1,38.101,17.804,0.637,21.2,3.789,48.729,11.705
43,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.1,5.845,1.631,875.5,23.703,17.564,2.028,21.8,5.564,42.529,7.128
44,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.15,6.225,0.544,874.0,24.98,16.231,0.739,23.6,4.055,48.917,10.795
45,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.2,6.878,0.425,867.6,22.927,15.992,0.985,19.5,3.695,44.991,5.315
46,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.25,7.806,0.738,889.4,17.019,15.852,0.633,21.5,3.008,48.675,9.558
47,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.3,8.427,0.453,897.1,23.236,15.974,0.826,19.5,5.315,46.121,9.961
48,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.35,8.621,0.63,918.5,18.597,14.999,0.577,21.6,4.247,47.791,8.907
49,1500.0,0.6,6.407,7.0,0.20295555382279834,0.4,0.4,9.111,0.72,906.7,8.889,15.097,0.923,19.3,3.716,45.243,8.715
50,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.01,1.587,0.152,751.0,20.189,24.514,1.561,39.8,7.73,58.016,7.143
51,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.04,3.905,0.55,769.3,25.585,21.733,1.757,40.2,8.134,57.131,7.658
52,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.08,5.479,0.661,804.4,40.512,20.134,0.93,33.6,6.545,55.237,11.675
53,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.1,6.113,0.85,784.0,28.16,19.724,0.812,38.3,7.1,51.23,9.443
54,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.15,6.971,0.594,805.3,20.828,18.429,1.373,36.0,10.555,55.741,12.317
55,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.2,7.288,0.758,816.7,24.43,17.869,1.379,32.1,8.665,48.658,7.103
56,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.25,7.839,0.886,849.7,15.252,16.641,0.878,34.4,7.579,51.294,9.234
57,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.3,8.643,0.984,858.3,21.877,16.622,1.558,24.9,5.576,49.443,12.755
58,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.35,8.535,0.578,864.9,26.243,16.152,1.24,22.9,5.108,50.794,15.311
59,1500.0,0.6,6.484,7.0,0.1972755766951892,0.5,0.4,8.732,0.605,878.1,25.434,14.826,0.907,30.4,7.432,42.294,6.665
60,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.01,1.495,0.252,620.5,25.645,31.472,2.312,94.6,14.458,74.815,10.162
61,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.04,3.824,0.505,667.2,18.584,24.61,1.647,83.9,11.597,61.975,8.728
62,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.08,5.055,0.671,685.8,37.584,21.992,1.79,78.1,14.494,58.126,5.14
63,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.1,5.636,0.782,695.9,30.998,21.398,1.03,84.5,13.945,68.853,9.008
64,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.15,6.541,0.596,735.6,24.138,19.326,1.431,66.5,15.603,56.59,5.752
65,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.2,7.128,0.508,760.6,24.373,18.379,0.808,73.2,9.652,59.253,10.825
66,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.25,7.477,0.613,771.5,19.612,17.064,1.02,59.3,6.589,54.914,5.945
67,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.3,8.354,0.725,801.4,29.954,16.458,1.246,56.9,14.57,48.952,7.821
68,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.35,8.015,0.666,822.3,28.277,14.912,1.226,53.8,8.097,49.275,5.338
69,1500.0,0.6,6.454,7.0,0.19984188963508429,0.6,0.4,8.883,0.768,828.8,23.727,15.254,1.313,49.3,10.14,50.867,5.422
70,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.01,1.863,0.353,428.3,38.058,42.389,5.272,272.7,30.832,95.712,18.956
71,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.04,3.875,0.389,484.9,29.592,29.395,3.662,237.3,23.191,90.787,17.897
72,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.08,5.775,0.695,497.9,30.125,26.585,3.425,223.8,19.838,79.291,9.666
73,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.1,6.204,0.958,527.7,37.175,24.789,3.09,221.1,21.691,76.128,11.272
74,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.15,6.736,0.523,597.1,33.81,20.917,1.534,192.9,29.122,65.478,9.66
75,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.2,6.907,0.587,620.8,22.333,18.229,1.943,168.3,26.829,65.256,8.821
76,1500.0,0.6,6.37,7.0,0.20418480415144852,0.7,0.25,8.098,0.675,647.2,27.939,18.109,1.474,162.2,25.694,63.963,10.214
